"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
63.875027,0.368931,0.355681,
63.878819,0.369263,0.355395,
63.882618,0.369576,0.355032,
63.886410,0.369302,0.354237,
63.890202,0.368451,0.352961,
63.893993,0.367255,0.351862,
63.897778,0.366655,0.351220,
63.901577,0.366456,0.350560,
63.905369,0.366444,0.349601,
63.909161,0.366165,0.348502,
63.912952,0.365307,0.347470,
63.916737,0.364345,0.346708,
63.920528,0.363383,0.345967,
63.924328,0.362775,0.344983,
63.928120,0.362179,0.343798,
63.931911,0.361935,0.342820,
63.935711,0.361662,0.342358,
63.939495,0.361104,0.342048,
63.943287,0.360588,0.341339,
63.947056,0.360157,0.340363,
63.950871,0.359808,0.339283,
63.954670,0.359605,0.338763,
63.958454,0.359596,0.338677,
63.962246,0.359461,0.338375,
63.966045,0.359164,0.337549,
63.969830,0.359069,0.336455,
63.973606,0.358735,0.335484,
63.977413,0.358499,0.334953,
63.981205,0.357983,0.334277,
63.985004,0.357645,0.333360,
63.988789,0.357238,0.332061,
63.992588,0.357063,0.330919,
63.996380,0.356641,0.330164,
64.000153,0.355937,0.329274,
64.003967,0.354811,0.328004,
64.007759,0.353971,0.326500,
64.011551,0.353615,0.325308,
64.015343,0.353499,0.324510,
64.019142,0.352936,0.323636,
64.022926,0.352052,0.322436,
64.026703,0.350399,0.320737,
64.030510,0.349298,0.319383,
64.034302,0.349075,0.318760,
64.038101,0.349213,0.318219,
64.041885,0.348835,0.317194,
64.045677,0.347654,0.315729,
64.049477,0.346440,0.314690,
64.053246,0.345966,0.314135,
64.057060,0.346099,0.313562,
64.060844,0.346233,0.312644,
64.064636,0.345828,0.311539,
64.068436,0.345025,0.310802,
64.072220,0.344456,0.310124,
64.076019,0.344134,0.308965,
64.079796,0.344327,0.307828,
64.083595,0.344111,0.306966,
64.087395,0.343246,0.306193,
64.091179,0.342613,0.304996,
64.094978,0.341929,0.303295,
64.098770,0.341580,0.301811,
64.102554,0.341264,0.301320,
64.106346,0.340299,0.300184,
64.110138,0.339374,0.298509,
64.113937,0.338512,0.296742,
64.117729,0.337748,0.295734,
64.121513,0.337242,0.294966,
64.125313,0.336375,0.293497,
64.129105,0.335475,0.291689,
64.132896,0.334452,0.290453,
64.136688,0.333414,0.289702,
64.140472,0.332800,0.288350,
64.144272,0.332311,0.286840,
64.148064,0.331926,0.286012,
64.151840,0.330751,0.285136,
64.155647,0.329645,0.283850,
64.159431,0.329338,0.282467,
64.163231,0.329768,0.282166,
64.167023,0.329030,0.281279,
64.170815,0.327659,0.279641,
64.174606,0.327078,0.278306,
64.178375,0.327848,0.278097,
64.182190,0.327571,0.277168,
64.185982,0.326191,0.275323,
64.189774,0.325316,0.274060,
64.193565,0.325647,0.273535,
64.197365,0.325330,0.272305,
64.201149,0.323854,0.270315,
64.204926,0.322911,0.269174,
64.208740,0.322857,0.268241,
64.212524,0.322426,0.266806,
64.216324,0.320957,0.265100,
64.220116,0.319858,0.264020,
64.223900,0.319427,0.262682,
64.227699,0.318786,0.261105,
64.231468,0.317483,0.259752,
64.235283,0.316360,0.258693,
64.239075,0.315660,0.257028,
64.242859,0.315102,0.255669,
64.246658,0.314023,0.254904,
64.250450,0.313180,0.253800,
64.254242,0.312257,0.252012,
64.258018,0.311725,0.251070,
64.261833,0.311369,0.250540,
64.265617,0.310689,0.249237,
64.269409,0.309810,0.247569,
64.273201,0.309340,0.247137,
64.276993,0.309357,0.246429,
64.280792,0.308924,0.244812,
64.284569,0.307828,0.243612,
64.288368,0.307140,0.242922,
64.292168,0.307319,0.241787,
64.295952,0.306825,0.240214,
64.299751,0.305540,0.239233,
64.303535,0.304529,0.238073,
64.307327,0.304580,0.236601,
64.311119,0.304240,0.235479,
64.314911,0.302648,0.234371,
64.318710,0.301454,0.232654,
64.322495,0.301380,0.231242,
64.326286,0.300866,0.230435,
64.330086,0.299251,0.229120,
64.333870,0.298014,0.227213,
64.337669,0.297791,0.226303,
64.341461,0.297308,0.225639,
64.345245,0.295755,0.224049,
64.349045,0.294609,0.222342,
64.352829,0.294410,0.221859,
64.356613,0.293764,0.220955,
64.360420,0.292419,0.219464,
64.364204,0.291756,0.218197,
64.368004,0.291696,0.217909,
64.371788,0.291258,0.216962,
64.375587,0.290267,0.215557,
64.379379,0.289783,0.214876,
64.383156,0.289544,0.214216,
64.386963,0.289177,0.213099,
64.390755,0.288567,0.212020,
64.394547,0.288106,0.211336,
64.398338,0.287346,0.210199,
64.402122,0.286811,0.208876,
64.405922,0.286413,0.208015,
64.409698,0.285984,0.207340,
64.413506,0.284999,0.206017,
64.417297,0.283807,0.204419,
64.421097,0.283236,0.203653,
64.424881,0.283150,0.203058,
64.428673,0.282301,0.201717,
64.432465,0.280707,0.200140,
64.436241,0.279538,0.199450,
64.440056,0.279534,0.198852,
64.443840,0.279341,0.197728,
64.447632,0.277836,0.196309,
64.451431,0.276482,0.195634,
64.455215,0.275731,0.194934,
64.459015,0.275862,0.194057,
64.462791,0.275430,0.193083,
64.466591,0.274204,0.192518,
64.470390,0.273234,0.191898,
64.474182,0.272929,0.191014,
64.477974,0.273165,0.190249,
64.481766,0.272843,0.190065,
64.485550,0.272022,0.189612,
64.489326,0.271190,0.188591,
64.493141,0.271030,0.187571,
64.496933,0.271195,0.187059,
64.500725,0.270951,0.187115,
64.504524,0.270043,0.186272,
64.508308,0.269230,0.185079,
64.512100,0.268737,0.184053,
64.515877,0.268527,0.183753,
64.519684,0.268327,0.183578,
64.523483,0.267500,0.182737,
64.527267,0.266677,0.181584,
64.531059,0.265913,0.180875,
64.534851,0.265308,0.180506,
64.538643,0.264672,0.180096,
64.542427,0.264021,0.179311,
64.546227,0.263266,0.178477,
64.550018,0.262779,0.178065,
64.553818,0.262294,0.177792,
64.557602,0.261344,0.177151,
64.561401,0.260432,0.176307,
64.565186,0.259769,0.175718,
64.568977,0.259794,0.175694,
64.572777,0.259930,0.175897,
64.576561,0.259959,0.175723,
64.580360,0.259221,0.175084,
64.584145,0.258555,0.174496,
64.587929,0.258059,0.174543,
64.591736,0.258182,0.174785,
64.595520,0.258803,0.174934,
64.599319,0.258882,0.174634,
64.603111,0.258444,0.174194,
64.606895,0.257866,0.174067,
64.610695,0.257246,0.174267,
64.614464,0.257086,0.174354,
64.618279,0.257400,0.174213,
64.622070,0.257484,0.174011,
64.625854,0.257226,0.174103,
64.629654,0.256580,0.174438,
64.633438,0.255492,0.174597,
64.637238,0.254869,0.174479,
64.641014,0.254821,0.174583,
64.644814,0.254867,0.174941,
64.648613,0.254977,0.175938,
64.652405,0.254418,0.176894,
64.656197,0.253468,0.177589,
64.659988,0.252692,0.178211,
64.663788,0.252351,0.179347,
64.667549,0.252283,0.181446,
64.671364,0.252591,0.184511,
64.675163,0.252456,0.187772,
64.678947,0.252222,0.191230,
64.682747,0.251848,0.194964,
64.686531,0.251800,0.198198,
64.690323,0.251869,0.199034,
64.694099,0.251778,0.196975,
64.697906,0.251751,0.193684,
64.701706,0.251455,0.190334,
64.705498,0.251504,0.188110,
64.709282,0.251705,0.186831,
64.713081,0.251516,0.185757,
64.716873,0.251007,0.184729,
64.720642,0.250514,0.184159,
64.724457,0.250235,0.184538,
64.728241,0.250229,0.185924,
64.732040,0.250128,0.187391,
64.735832,0.249515,0.188853,
64.739624,0.248603,0.191023,
64.743416,0.247605,0.194415,
64.747192,0.247422,0.198948,
64.750999,0.247501,0.202436,
64.754791,0.247170,0.203098,
64.758583,0.246171,0.200346,
64.762375,0.245204,0.195557,
64.766174,0.244305,0.190398,
64.769958,0.244485,0.185189,
64.773743,0.244720,0.180655,
64.777542,0.244519,0.176925,
64.781334,0.243693,0.174191,
64.785133,0.242663,0.171526,
64.788918,0.242569,0.169023,
64.792709,0.242954,0.166912,
64.796509,0.243312,0.165607,
64.800293,0.242834,0.164313,
64.804092,0.241933,0.162396,
64.807877,0.241617,0.160572,
64.811668,0.241953,0.159563,
64.815468,0.242070,0.158826,
64.819244,0.241696,0.157700,
64.823051,0.240866,0.155969,
64.826836,0.240623,0.154895,
64.830627,0.240611,0.154313,
64.834427,0.240375,0.153422,
64.838211,0.239870,0.152284,
64.842010,0.239354,0.151224,
64.845772,0.239097,0.150731,
64.849586,0.238763,0.150023,
64.853386,0.238298,0.149090,
64.857170,0.237977,0.148624,
64.860970,0.237811,0.148641,
64.864761,0.237244,0.148151,
64.868546,0.236722,0.147814,
64.872322,0.236857,0.148470,
64.876137,0.237065,0.149509,
64.879929,0.236599,0.149510,
64.883720,0.235942,0.148805,
64.887505,0.236479,0.148530,
64.891304,0.237209,0.147795,
64.895096,0.237204,0.146486,
64.898865,0.236298,0.145145,
64.902679,0.236546,0.145206,
64.906479,0.237738,0.145131,
64.910263,0.237760,0.144296,
64.914055,0.237140,0.143701,
64.917854,0.237004,0.143990,
64.921638,0.238019,0.143794,
64.925415,0.238251,0.143213,
64.929230,0.237600,0.143213,
64.933014,0.237110,0.143214,
64.936813,0.237750,0.142757,
64.940598,0.237978,0.142562,
64.944397,0.237516,0.142784,
64.948189,0.237013,0.142498,
64.951965,0.237396,0.141967,
64.955772,0.237638,0.142340,
64.959564,0.237233,0.142560,
64.963356,0.236936,0.141942,
64.967148,0.237206,0.141836,
64.970932,0.237316,0.142506,
64.974731,0.237176,0.142633,
64.978516,0.237258,0.142237,
64.982315,0.237468,0.142668,
64.986107,0.237831,0.143351,
64.989891,0.237977,0.143395,
64.993690,0.238383,0.143383,
64.997482,0.238584,0.144036,
65.001274,0.239028,0.144367,
65.005058,0.239588,0.144468,
65.008865,0.240214,0.145036,
65.012650,0.240055,0.145406,
65.016441,0.240500,0.145368,
65.020233,0.241480,0.146001,
65.024025,0.241758,0.146596,
65.027824,0.241339,0.146547,
65.031609,0.241682,0.146509,
65.035400,0.242880,0.147531,
65.039192,0.242846,0.147712,
65.042984,0.242098,0.147386,
65.046783,0.242310,0.147615,
65.050560,0.243795,0.148809,
65.054359,0.243562,0.148817,
65.058159,0.242828,0.148598,
65.061943,0.243061,0.149329,
