"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
63.958622;0.388225;0.328250;
63.962376;0.387297;0.327056;
63.966122;0.386095;0.326644;
63.969860;0.386089;0.326132;
63.973598;0.385858;0.325225;
63.977352;0.385284;0.324731;
63.981106;0.384690;0.324603;
63.984852;0.384618;0.323839;
63.988598;0.384579;0.323143;
63.992344;0.384376;0.323279;
63.996098;0.384371;0.322954;
63.999844;0.383929;0.321929;
64.003593;0.383921;0.321438;
64.007339;0.384018;0.321629;
64.011078;0.384005;0.320707;
64.014809;0.383375;0.319377;
64.018585;0.383105;0.319171;
64.022324;0.383174;0.318961;
64.026070;0.383030;0.317740;
64.029823;0.382206;0.316514;
64.033569;0.381464;0.316099;
64.037315;0.381260;0.315412;
64.041046;0.381089;0.314082;
64.044815;0.380062;0.313088;
64.048561;0.378987;0.312342;
64.052307;0.378547;0.311244;
64.056053;0.378681;0.310186;
64.059807;0.377618;0.309455;
64.063545;0.376151;0.308426;
64.067284;0.375583;0.307170;
64.071037;0.375747;0.306359;
64.074783;0.375351;0.305957;
64.078537;0.373869;0.304981;
64.082283;0.372918;0.303742;
64.086029;0.373185;0.303131;
64.089775;0.373530;0.303004;
64.093529;0.372913;0.302380;
64.097275;0.371680;0.300972;
64.101021;0.371341;0.300323;
64.104759;0.371869;0.300191;
64.108498;0.371872;0.299549;
64.112267;0.371312;0.298455;
64.116005;0.370512;0.297506;
64.119751;0.370388;0.296963;
64.123497;0.370331;0.296152;
64.127251;0.369963;0.294985;
64.130997;0.369173;0.293737;
64.134727;0.368722;0.293161;
64.138489;0.368168;0.292107;
64.142242;0.367403;0.290641;
64.145988;0.366637;0.289383;
64.149734;0.366041;0.288665;
64.153481;0.365523;0.287888;
64.157219;0.364660;0.286330;
64.160973;0.363474;0.284763;
64.164726;0.362744;0.283727;
64.168465;0.362058;0.283073;
64.172211;0.361637;0.282245;
64.175949;0.360771;0.280702;
64.179710;0.359781;0.279133;
64.183456;0.358618;0.278268;
64.187202;0.358129;0.277915;
64.190956;0.358092;0.277134;
64.194702;0.357822;0.275829;
64.198448;0.357186;0.274810;
64.202179;0.356378;0.274133;
