"Piezo Voltage (V)";"Fine In 1 (V)";"Fine In 2 (V)";
67.421753;0.358571;0.370707;
67.427155;0.358503;0.370975;
67.432549;0.358325;0.370971;
67.437950;0.358434;0.370774;
67.443344;0.358777;0.370968;
67.448746;0.359265;0.371474;
67.454147;0.359206;0.371292;
67.459518;0.358583;0.370644;
67.464943;0.359311;0.371317;
67.470345;0.359892;0.371435;
67.475723;0.359235;0.370724;
67.481140;0.358343;0.370137;
67.486534;0.358918;0.370748;
67.491936;0.359359;0.370476;
67.497345;0.358644;0.369690;
67.502739;0.357459;0.369394;
67.508141;0.357519;0.369681;
67.513527;0.358060;0.369343;
67.518936;0.357557;0.368927;
67.524330;0.356677;0.369075;
67.529709;0.356680;0.369242;
67.535126;0.357312;0.369106;
67.540535;0.357328;0.369265;
67.545921;0.356918;0.369743;
67.551331;0.356825;0.369708;
67.556725;0.357679;0.369600;
67.562126;0.358112;0.370027;
67.567520;0.357915;0.370522;
67.572922;0.357658;0.370273;
67.578331;0.358017;0.369774;
67.583717;0.358757;0.370335;
67.589127;0.358726;0.370535;
67.594521;0.358096;0.370037;
67.599899;0.357774;0.369306;
67.605316;0.357811;0.369307;
67.610718;0.357955;0.369534;
67.616096;0.357588;0.369101;
67.621521;0.357099;0.368408;
67.626915;0.356725;0.368271;
67.632317;0.356440;0.368405;
67.637711;0.356229;0.368268;
67.643112;0.356154;0.367960;
67.648506;0.356355;0.368144;
67.653908;0.356372;0.368590;
67.659302;0.355832;0.368523;
67.664711;0.355798;0.368355;
67.670090;0.356090;0.368536;
67.675507;0.357122;0.369302;
67.680908;0.357410;0.369535;
67.686295;0.357051;0.369247;
67.691704;0.356658;0.368807;
67.697105;0.356763;0.368933;
67.702499;0.357686;0.369528;
67.707901;0.357974;0.369396;
67.713303;0.357550;0.368691;
67.718697;0.356667;0.367994;
67.724098;0.356158;0.367941;
67.729492;0.356459;0.368205;
67.734894;0.356836;0.368013;
67.740280;0.356439;0.367357;
67.745689;0.355753;0.367038;
67.751099;0.355066;0.367081;
67.756477;0.354812;0.367322;
67.761894;0.355229;0.367298;
67.767288;0.355673;0.367193;
67.772690;0.355891;0.367438;
67.778084;0.355847;0.367952;
67.783493;0.355470;0.368363;
67.788887;0.355496;0.368207;
67.794289;0.355810;0.367894;
