"Piezo Voltage (V)","Fine In 1 (V)","Fine In 2 (V)",
54.837673,0.542946,0.433927,
54.863331,0.541847,0.430260,
54.888950,0.539604,0.425599,
54.914608,0.535077,0.419168,
54.940258,0.532199,0.414764,
54.965893,0.530803,0.412294,
54.991543,0.528088,0.408677,
55.017200,0.523699,0.403538,
55.042828,0.521064,0.401000,
55.068485,0.519828,0.404475,
55.094135,0.516931,0.405465,
55.119762,0.512530,0.392376,
55.145412,0.510447,0.386685,
55.171040,0.509368,0.384265,
55.196697,0.506496,0.383424,
55.222340,0.502268,0.388583,
55.247974,0.499884,0.397528,
55.273609,0.497640,0.376407,
55.299252,0.493638,0.362505,
55.324879,0.489302,0.351682,
55.350529,0.487738,0.345081,
55.376186,0.486184,0.340377,
55.401814,0.482852,0.335165,
55.427464,0.480108,0.330723,
55.453091,0.480711,0.329168,
55.478741,0.481306,0.328923,
55.504391,0.480155,0.331641,
55.530025,0.479005,0.328913,
55.555668,0.480042,0.328421,
55.581318,0.480739,0.329026,
55.606945,0.480749,0.329499,
55.632603,0.482517,0.331579,
55.658253,0.485908,0.335198,
55.683880,0.487557,0.338118,
55.709530,0.487772,0.340088,
55.735188,0.490012,0.344085,
55.760815,0.494258,0.349668,
55.786457,0.497834,0.354496,
55.812092,0.499678,0.358106,
55.837734,0.503084,0.363424,
55.863392,0.507145,0.370067,
55.889027,0.510015,0.375538,
55.914684,0.512446,0.380064,
55.940342,0.517058,0.386254,
55.965969,0.521748,0.393540,
55.991619,0.524157,0.399249,
56.017262,0.526747,0.404356,
56.042896,0.531153,0.410610,
56.068546,0.535350,0.417211,
56.094196,0.537725,0.422619,
56.119823,0.540260,0.427810,
56.145466,0.544559,0.433950,
56.171101,0.547683,0.439128,
56.196735,0.549171,0.443210,
56.222393,0.551619,0.448063,
56.248013,0.555388,0.453339,
56.273670,0.557787,0.457182,
56.299313,0.558207,0.459521,
56.324947,0.559975,0.463218,
56.350590,0.562842,0.467319,
56.376247,0.564296,0.469317,
56.401875,0.564287,0.470155,
56.427525,0.565436,0.472607,
56.453182,0.566585,0.474756,
56.478802,0.566884,0.474751,
56.504459,0.566633,0.474371,
56.530087,0.567470,0.475468,
56.555737,0.566941,0.475461,
56.581379,0.565511,0.473246,
56.607014,0.564991,0.471436,
56.632664,0.565442,0.471015,
56.658314,0.563809,0.468691,
56.683941,0.560349,0.464119,
56.709591,0.559066,0.460855,
56.735249,0.558675,0.458458,
56.760883,0.555910,0.453723,
56.786526,0.551034,0.447130,
56.812191,0.548863,0.442185,
56.837826,0.547064,0.437261,
56.863468,0.542710,0.429953,
56.889095,0.537399,0.422112,
56.914745,0.533846,0.415115,
56.940403,0.530217,0.407491,
56.966030,0.524554,0.398383,
56.991680,0.518529,0.389063,
57.017323,0.514045,0.380203,
57.042957,0.508852,0.370815,
57.068592,0.501980,0.360474,
57.094242,0.495654,0.350203,
57.119862,0.490201,0.340124,
57.145519,0.483671,0.330022,
57.171146,0.476362,0.319743,
57.196796,0.470289,0.309552,
57.222454,0.464357,0.299852,
