Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V)
64.226646,0.373564,0.369096
64.229614,0.373473,0.368525
64.232574,0.37379,0.367751
64.235535,0.372988,0.367469
64.238487,0.372028,0.367119
64.24147,0.371936,0.366396
64.244438,0.372279,0.365928
64.247391,0.372019,0.365985
64.250359,0.370737,0.365431
64.253326,0.370499,0.364653
64.256279,0.371216,0.364774
64.259239,0.371064,0.364933
64.262215,0.37015,0.3642
64.265175,0.36976,0.363568
64.268143,0.370557,0.364045
64.271103,0.370547,0.363918
64.274063,0.369775,0.363151
64.277031,0.369581,0.362787
64.279991,0.370421,0.363315
64.282951,0.370338,0.362832
64.285919,0.369846,0.362221
64.288887,0.36984,0.362157
64.291855,0.370115,0.361944
64.294807,0.369986,0.361292
64.297775,0.369672,0.360999
64.300743,0.369569,0.360687
64.303703,0.369446,0.35983
64.306664,0.369324,0.359306
64.309616,0.369151,0.359257
64.312592,0.36864,0.358322
64.315559,0.36815,0.357268
64.31852,0.367995,0.357206
64.32148,0.368062,0.356939
64.324448,0.367163,0.355614
64.327415,0.366538,0.35487
64.33036,0.366575,0.354862
64.333336,0.366562,0.354199
64.336304,0.365542,0.352788
64.339256,0.364614,0.352363
64.342224,0.364779,0.352225
64.345192,0.364718,0.351237
64.34816,0.363778,0.350392
64.351105,0.362668,0.350131
64.35408,0.363186,0.349784
64.357048,0.363236,0.348891
64.360008,0.362524,0.348621
64.362968,0.361505,0.348372
64.365936,0.361709,0.347654
64.368896,0.362285,0.347195
64.371849,0.361777,0.347257
64.374832,0.360964,0.3466
64.377785,0.36103,0.345749
64.380753,0.361653,0.345573
64.38372,0.361574,0.345762
64.386688,0.360716,0.344731
64.389641,0.360569,0.343816
64.392586,0.360855,0.343731
64.395576,0.360897,0.343586
64.398537,0.360213,0.342436
64.401497,0.359854,0.341447
64.404465,0.359795,0.341248
64.407425,0.359549,0.3407
64.410393,0.359136,0.339662
64.413338,0.35884,0.338802
64.416313,0.358355,0.338236
64.419281,0.357681,0.337298
64.422249,0.357267,0.336307
64.425201,0.357006,0.33565
64.428169,0.356574,0.335014
64.431137,0.355475,0.333767
64.43409,0.354992,0.332738
64.437057,0.35489,0.332242
64.440025,0.354745,0.33183
64.442993,0.35362,0.330584
64.445953,0.352624,0.329314
64.448914,0.352227,0.328877
64.451881,0.352498,0.328661
64.454842,0.352262,0.327827
64.457809,0.351175,0.326587
64.460777,0.350174,0.32593
64.46373,0.350196,0.32586
64.466698,0.350608,0.325284
64.469666,0.350726,0.324493
64.472618,0.349758,0.323634
64.475586,0.348926,0.32328
64.478554,0.348614,0.322769
64.481522,0.348961,0.321955
64.484474,0.349217,0.321213
64.487442,0.348888,0.320685
64.49041,0.348262,0.320249
64.49337,0.347618,0.319271
64.49633,0.347465,0.318163
64.499298,0.347467,0.317143
64.502258,0.347488,0.316894
64.505211,0.346941,0.316395
64.508194,0.346152,0.315297
64.511147,0.345597,0.313861
64.514114,0.345112,0.31262
64.517082,0.34488,0.312241
64.520035,0.344562,0.311626
64.523003,0.343806,0.310521
64.525948,0.34304,0.309044
64.528938,0.342368,0.307875
64.531891,0.341825,0.3072
64.534859,0.341249,0.306413
64.537827,0.340603,0.305358
64.540787,0.33994,0.304161
64.543755,0.339428,0.303043
64.5467,0.338941,0.302403
64.549675,0.338207,0.301631
64.552643,0.337281,0.300537
64.555603,0.336504,0.299403
