Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V)
62.172886,0.379598,0.369119
62.175854,0.379939,0.368507
62.178822,0.37917,0.368331
62.181789,0.377846,0.36753
62.18475,0.377784,0.366638
62.18771,0.378182,0.366253
62.190678,0.377805,0.366316
62.193638,0.376555,0.365473
62.196598,0.376133,0.364557
62.199566,0.376475,0.364573
62.202526,0.376543,0.364717
62.205486,0.37568,0.364013
62.208462,0.375071,0.363286
62.211414,0.37542,0.363339
62.214382,0.375632,0.363564
62.21735,0.37555,0.363315
62.220303,0.374929,0.362616
62.22327,0.375093,0.362604
62.226215,0.3752,0.362698
62.229206,0.375355,0.362487
62.232159,0.375119,0.361949
62.235126,0.375123,0.361919
62.238094,0.37513,0.361795
62.241055,0.375084,0.361297
62.244022,0.374989,0.360668
62.24696,0.375057,0.360731
62.249943,0.375145,0.360561
62.252911,0.374727,0.359826
62.255871,0.374145,0.358966
62.258831,0.373897,0.358601
62.261799,0.374135,0.358755
62.264767,0.374247,0.358227
62.267712,0.373468,0.357119
62.270687,0.372672,0.356352
62.273655,0.3719,0.356073
62.276623,0.371923,0.355929
62.279575,0.372152,0.355197
62.282543,0.371873,0.354321
62.285511,0.370967,0.353727
62.288464,0.36996,0.353365
62.291439,0.36917,0.352807
62.294399,0.369401,0.352059
62.297359,0.369507,0.351351
62.300327,0.369189,0.351124
62.303288,0.368493,0.350912
62.306248,0.367714,0.350381
62.309216,0.36721,0.349353
62.312183,0.367368,0.348785
62.315151,0.367712,0.348827
62.318104,0.367591,0.348974
62.321072,0.367092,0.348597
62.324039,0.366415,0.347721
62.327,0.366271,0.346962
62.32996,0.366582,0.347
62.332928,0.367014,0.347151
62.335888,0.367112,0.347073
62.338848,0.366804,0.346381
62.341816,0.366356,0.345699
62.344776,0.36622,0.345349
62.347744,0.366361,0.34519
62.350712,0.366402,0.344991
62.353664,0.366446,0.344373
62.356632,0.3662,0.343595
62.359577,0.366118,0.343159
62.362568,0.365855,0.342936
62.36552,0.365684,0.342441
62.368488,0.365043,0.341528
62.371456,0.364562,0.340519
