Sweep Expansion, 1
P,0.0
I,0.0
D,0.0
All,2.0
t (s), Frequency Drift (GHz), Active Current (mA), Piezo Voltage 
2.503, -0.008036835387176106, 128.34583196046128, 60.9088134765625
17.828, -0.00504638501055244, 128.34583196046128, 60.997314453125
33.146, -0.008597544832793047, 128.32896210873145, 60.926513671875
48.475, -0.006541610198864274, 128.36270181219112, 60.9442138671875
63.795, -0.008223738535715088, 128.34583196046128, 60.9442138671875
79.119, -0.007102319644481212, 128.33739703459636, 60.9619140625
94.45, -0.00971896372402692, 128.34583196046128, 61.03271484375
109.771, -0.008597544832793047, 128.34583196046128, 61.0150146484375
125.127, -0.011401092060877733, 128.31209225700167, 60.9796142578125
140.455, -0.01214870465503365, 128.3373970345964, 61.03271484375
155.787, -0.012522510952111609, 128.32052718286656, 61.0504150390625
171.109, -0.013270123546267526, 128.371136738056, 60.997314453125
186.472, -0.013083220397728548, 128.32052718286656, 61.0858154296875
201.799, -0.015326058180196299, 128.34583196046128, 60.997314453125
217.126, -0.01700818651704711, 128.32052718286656, 61.03271484375
232.448, -0.01906412115097588, 128.3542668863262, 61.103515625
247.766, -0.01906412115097588, 128.32052718286656, 61.103515625
263.113, -0.01999863689367078, 128.32896210873145, 61.1212158203125
278.438, -0.0018690314853897923, 128.33739703459636, 61.1212158203125
293.765, -0.006354707050325294, 128.32052718286656, 61.1212158203125
309.086, -0.006354707050325294, 128.32052718286656, 61.138916015625
324.414, -0.022802184121755466, 128.34583196046128, 61.138916015625
339.755, -0.02205457152759955, 128.32052718286656, 61.138916015625
355.085, -0.024110506161528326, 128.35426688632617, 61.138916015625
370.413, -0.021680765230521593, 128.32052718286656, 61.138916015625
385.732, -0.011027285763799775, 128.3542668863262, 61.1566162109375
401.056, -0.00971896372402692, 128.3373970345964, 61.1566162109375
416.386, -0.008036835387176106, 128.30365733113672, 61.138916015625
431.703, -0.00485948186201346, 128.34583196046128, 61.138916015625
447.026, -0.00953206057548794, 128.3373970345964, 61.1566162109375
462.353, -0.014204639288962423, 128.32052718286656, 61.138916015625
477.678, -0.014391542437501402, 128.33739703459636, 61.138916015625
493.022, -0.01700818651704711, 128.33739703459636, 61.138916015625
508.345, -0.015512961328735276, 128.35426688632617, 61.138916015625
523.672, -0.022802184121755466, 128.34583196046128, 61.1566162109375
538.994, -0.023175990418833427, 128.3542668863262, 61.138916015625
554.315, -0.022615280973216488, 128.35426688632617, 61.138916015625
569.657, -0.022615280973216488, 128.32052718286656, 61.138916015625
584.975, -0.02448431245860628, 128.32896210873145, 61.1566162109375
600.299, -0.023175990418833427, 128.3373970345964, 61.138916015625
615.623, -0.022615280973216488, 128.3542668863262, 61.138916015625
630.95, -0.023175990418833427, 128.34583196046128, 61.138916015625
646.295, -0.023736699864450362, 128.34583196046128, 61.138916015625
661.628, -0.02485811875568424, 128.36270181219112, 61.138916015625
676.947, -0.025418828201301175, 128.35426688632617, 61.138916015625
692.275, -0.025045021904223218, 128.36270181219112, 61.138916015625
707.602, -0.026914053389613012, 128.32052718286656, 61.138916015625
722.939, -0.02579263449837914, 128.34583196046128, 61.138916015625
738.268, -0.029156891172080764, 128.32896210873145, 61.1566162109375
753.585, -0.028222375429385868, 128.3542668863262, 61.138916015625
768.911, -0.031773535251626475, 128.32052718286656, 61.138916015625
784.238, -0.014017736140423443, 128.3373970345964, 61.138916015625
799.566, -0.030465213211853616, 128.33739703459636, 61.138916015625
814.89, -0.02953069746915872, 128.34583196046128, 61.1566162109375
830.207, -0.030278310063314638, 128.32896210873145, 61.1566162109375
845.527, -0.016260573922891194, 128.32896210873147, 61.1566162109375
860.854, -0.030278310063314638, 128.3542668863262, 61.138916015625
876.208, -0.016260573922891194, 128.33739703459636, 61.1566162109375
891.531, -0.018316508556819967, 128.30365733113672, 61.138916015625
906.862, -0.017195089665586093, 128.32896210873145, 61.1566162109375
922.19, -0.01943792744805384, 128.32896210873145, 61.1566162109375
937.51, -0.01700818651704711, 128.32896210873145, 61.1566162109375
952.847, -0.01700818651704711, 128.34583196046128, 61.1566162109375
968.174, -0.01962483059659282, 128.32896210873145, 61.1566162109375
983.496, -0.01700818651704711, 128.32052718286656, 61.1566162109375
998.823, -0.021680765230521593, 128.33739703459636, 61.1566162109375
1014.147, -0.01700818651704711, 128.3373970345964, 61.138916015625
1029.487, -0.01943792744805384, 128.3373970345964, 61.1566162109375
1044.808, -0.022428377824677513, 128.31209225700164, 61.1566162109375
1060.137, -0.023175990418833427, 128.3373970345964, 61.1566162109375
1075.463, -0.01999863689367078, 128.34583196046128, 61.1566162109375
1090.78, -0.021306958933443632, 128.3373970345964, 61.1566162109375
1106.11, -0.0252319250527622, 128.34583196046128, 61.1566162109375
1121.431, -0.026914053389613012, 128.371136738056, 61.1566162109375
1136.754, -0.025979537646918113, 128.34583196046128, 61.1566162109375
1152.083, -0.025418828201301175, 128.32052718286656, 61.1566162109375
1167.412, -0.02710095653815199, 128.3373970345964, 61.1566162109375
1182.738, -0.027848569132307908, 128.32896210873145, 61.1566162109375
1198.071, -0.027474762835229947, 128.34583196046128, 61.1566162109375
1213.406, -0.025605731349840156, 128.3373970345964, 61.1566162109375
1228.732, -0.032147341548704425, 128.32896210873145, 61.1566162109375
1244.065, -0.029156891172080764, 128.35426688632617, 61.1566162109375
1259.394, -0.029343794320619742, 128.32052718286656, 61.1566162109375
1274.713, -0.029343794320619742, 128.32896210873145, 61.1566162109375
1290.043, -0.02953069746915872, 128.33739703459636, 61.1566162109375
1305.373, -0.034203276182633205, 128.34583196046128, 61.1566162109375
