0.431, 1289, 20.000152589999999
9.646, 1231, > 20.000030519999999
18.859, 1225, > 20.00024414
28.12, 1242, > 20.000061039999999
37.332, 1233, > 20.00033569
46.548, 1225, > 20.00012207
55.791, 1234, > 20.000152589999999
65.004, 1241, > 20.000488279999999
74.218, 1317, > 20.00045776
83.421, 1253, > 20.00021362
92.648, 1238, > 20.00024414
101.864, 1247, > 20.000274659999999
111.072, 1255, > 20.000152589999999
120.288, 1320, > 20.000152589999999
129.509, 1335, > 20.00021362
138.72, 1342, > 20.000183109999998
147.999, 1327, > 20.00009155
157.212, 1330, > 20.00024414
166.424, 1335, > 20.000152589999999
175.636, 1337, > 20.000152589999999
184.858, 1334, > 20.000366209999999
194.064, 1357, > 20.000152589999999
203.279, 1355, > 20.00033569
212.489, 1348, > 20.00021362
221.698, 1358, > 20.000274659999999
230.914, 1352, > 20.00024414
240.128, 1343, > 20.000183109999998
249.332, 1354, > 20.000061039999999
258.561, 1377, > 20.000274659999999
267.815, 1359, > 20.00021362
277.017, 1372, > 20.000183109999998
286.231, 1381, > 20.000183109999998
295.446, 1373, > 20.000274659999999
304.657, 1384, > 20.000183109999998
313.867, 1359, > 20.00021362
323.084, 1382, > 20.000305180000002
332.287, 1371, > 20.00033569
341.505, 1376, > 20.00009155
350.718, 1373, > 20.00009155
359.932, 1369, > 20.000183109999998
369.166, 1367, > 20.00012207
378.401, 1367, > 20.000030519999999
387.613, 1365, > 20.00024414
396.824, 1365, > 20.00024414
406.04, 1376, > 20.000183109999998
415.257, 1389, > 20.00021362
424.469, 1378, > 20.00012207
433.684, 1376, > 20.00009155
442.897, 1388, > 20.00021362
452.11, 1384, > 20.00012207
461.326, 1387, > 20.00021362
470.538, 1393, > 20.00024414
479.748, 1381, > 20.000152589999999
488.988, 1375, > 20.000305180000002
498.2, 1377, > 20.000152589999999
507.425, 1374, > 20.00021362
516.642, 1374, > 19.999969480000001
525.856, 1374, > 20.000183109999998
535.066, 1403, > 20.00021362
544.272, 1374, > 20.00012207
553.483, 1387, > 20.000061039999999
562.699, 1383, > 20.00021362
571.916, 1391, > 20.000183109999998
581.127, 1386, > 20.000274659999999
590.339, 1385, > 20.000305180000002
599.552, 1415, > 20.000061039999999
608.769, 1384, > 20.000061039999999
617.993, 1400, > 20.00009155
627.216, 1393, > 20.00024414
636.426, 1398, > 20.000183109999998
645.639, 1392, > 20.000061039999999
654.86, 1387, > 20.00009155
664.071, 1400, > 20.000183109999998
673.29, 1395, > 20.00021362
682.505, 1406, > 20.00021362
691.716, 1414, > 20.000183109999998
700.932, 1406, > 20.00021362
710.145, 1416, > 20.000274659999999
719.36, 1406, > 20.00009155
728.595, 1406, > 20.000152589999999
737.808, 1407, > 20.00012207
747.026, 1412, > 20.00021362
756.251, 1414, > 20.000152589999999
765.467, 1416, > 20.000396729999999
774.681, 1403, > 20.00024414
783.9, 1410, > 20.000305180000002
793.114, 1417, > 20.000152589999999
802.327, 1423, > 20.00021362
811.533, 1419, > 20.000152589999999
820.757, 1420, > 20.000305180000002
830.007, 1421, > 20.00021362
839.221, 1421, > 20.00024414
848.436, 1423, > 20.00021362
857.647, 1439, > 20.000183109999998
866.861, 1415, > 20.00024414
876.067, 1432, > 20.000152589999999
885.289, 1419, > 20.00024414
894.514, 1422, > 20.00012207
903.719, 1410, > 20.000305180000002
912.922, 1404, > 20.000061039999999
