Sweep Expansion, 1
P,0.0047
I,0.002
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA), Piezo Volta 
2.326, -0.007943383812906617, 127.67947281713344, 64.5550537109375
17.647, -0.0023362893567372405, 127.67947281713344, 64.5550537109375
32.983, -0.0018690314853897925, 127.68790774299835, 64.5550537109375
48.309, -0.0014017736140423441, 127.69634266886325, 64.5550537109375
63.625, -0.0009345157426948963, 127.70477759472817, 64.537353515625
78.945, -0.006541610198864273, 127.66260296540361, 64.537353515625
94.292, -0.004672578713474481, 127.67103789126853, 64.537353515625
109.619, -0.00747612594155917, 127.67947281713344, 64.537353515625
124.954, -0.00513983658482193, 127.67103789126853, 64.537353515625
140.292, -0.0070088680702117215, 127.66260296540361, 64.5550537109375
155.627, -0.004672578713474481, 127.6541680395387, 64.537353515625
170.941, -0.0070088680702117215, 127.67103789126853, 64.5550537109375
186.291, -0.0028035472280846883, 127.67947281713344, 64.537353515625
201.616, -0.01027967316964386, 127.66260296540361, 64.537353515625
216.953, -0.0028035472280846883, 127.68790774299835, 64.537353515625
232.293, -0.008877899555601514, 127.67947281713344, 64.5550537109375
247.613, -0.006541610198864273, 127.70477759472817, 64.5550537109375
262.94, -0.007943383812906617, 127.67103789126853, 64.5550537109375
278.286, -0.007943383812906617, 127.70477759472817, 64.537353515625
293.617, -0.0056070944561693765, 127.67103789126853, 64.537353515625
308.947, -0.00747612594155917, 127.70477759472817, 64.537353515625
324.291, -0.009345157426948962, 127.67947281713344, 64.537353515625
339.62, -0.008877899555601514, 127.69634266886325, 64.537353515625
354.945, -0.0070088680702117215, 127.65416803953872, 64.537353515625
370.301, -0.006074352327516825, 127.67947281713344, 64.537353515625
385.636, -0.006074352327516825, 127.67947281713344, 64.537353515625
401.003, -0.004672578713474481, 127.68790774299835, 64.537353515625
416.329, -0.0028035472280846883, 127.70477759472817, 64.537353515625
431.657, -0.004205320842127032, 127.67947281713344, 64.537353515625
447.03, -0.00981241529829641, 127.71321252059307, 64.537353515625
462.371, -0.006074352327516825, 127.68790774299835, 64.537353515625
477.698, -0.004672578713474481, 127.69634266886325, 64.537353515625
493.025, -0.007943383812906617, 127.70477759472817, 64.537353515625
508.35, -0.008877899555601514, 127.67947281713344, 64.537353515625
523.677, -0.0023362893567372405, 127.69634266886325, 64.537353515625
539.019, -0.003738062970779585, 127.70477759472817, 64.5196533203125
554.339, -0.006074352327516825, 127.67103789126853, 64.537353515625
