Sweep Expansion, 1
t (s), Frequency Drift (GHz), Active Current (mA) 
P,0.0
I,0.0
D,0.0
All,2.0
2.5, 0.00485948186201346, 128.34583196046128
17.817, -0.008410641684254065, 128.31209225700167
33.125, 0.0018690314853897923, 128.32052718286656
48.44, -0.002055934633928772, 128.32896210873147
63.749, 0.0016821283368508133, 128.32052718286656
79.081, -0.003551159822240606, 128.34583196046128
94.398, -0.0003738062970779585, 128.3373970345964
109.713, -0.0016821283368508133, 128.33739703459636
125.026, -0.00242974093100673, 128.33739703459636
140.351, -0.0016821283368508133, 128.3373970345964
155.67, -0.004298772416396523, 128.32896210873145
170.994, -0.004111869267857544, 128.32052718286656
186.316, -0.0026166440795457094, 128.32896210873145
201.634, -0.003177353525162647, 128.32052718286656
216.957, -0.005233288159091419, 128.33739703459636
232.268, -0.008597544832793047, 128.32896210873145
247.584, -0.008597544832793047, 128.34583196046128
262.906, -0.00971896372402692, 128.31209225700164
278.226, -0.004298772416396523, 128.31209225700167
293.544, -0.0069154164959422315, 128.3373970345964
308.859, -0.006541610198864274, 128.36270181219112
324.178, -0.01214870465503365, 128.34583196046128
339.489, -0.01027967316964386, 128.35426688632617
354.815, -0.008410641684254065, 128.36270181219112
370.132, -0.007289222793020191, 128.32052718286656
385.449, -0.006354707050325294, 128.32896210873145
400.761, -0.007289222793020191, 128.35426688632617
416.079, -0.005793997604708357, 128.32896210873145
431.452, -0.004298772416396523, 128.32052718286656
446.763, -0.0037380629707795847, 128.32896210873145
462.081, -0.010840382615260796, 128.32052718286656
477.405, -0.00953206057548794, 128.31209225700167
492.724, -0.003551159822240606, 128.34583196046128
508.051, -0.005420191307630398, 128.31209225700167
523.372, -0.015512961328735276, 128.34583196046128
538.692, -0.002803547228084689, 128.32896210873145
554.002, -0.00242974093100673, 128.35426688632617
569.326, -0.003924966119318564, 128.36270181219112
584.648, -0.016260573922891194, 128.3373970345964
599.996, -0.015139155031657319, 128.3542668863262
615.312, -0.01289631724918957, 128.32896210873145
630.631, -0.0069154164959422315, 128.34583196046128
645.951, -0.009345157426948962, 128.31209225700167
661.271, -0.01027967316964386, 128.31209225700167
676.586, -0.011587995209416713, 128.34583196046128
691.907, -0.013083220397728548, 128.32896210873145
707.227, -0.014578445586040382, 128.32896210873145
722.542, -0.015886767625813238, 128.32896210873147
737.852, -0.015326058180196299, 128.31209225700167
753.166, -0.015512961328735276, 128.31209225700164
768.495, -0.016073670774352213, 128.32896210873145
783.821, -0.02224147467613853, 128.371136738056
799.132, -0.012709414100650587, 128.31209225700164
814.442, -0.013083220397728548, 128.35426688632617
829.759, -0.008784447981332023, 128.371136738056
845.083, -0.028035472280846886, 128.31209225700167
860.399, -0.023549796715911384, 128.35426688632617
875.724, -0.02859618172646382, 128.34583196046128
891.034, -0.029156891172080764, 128.3373970345964
906.358, -0.012709414100650587, 128.36270181219112
