Sweep Expansion, 1
P,0.001
I,0.003
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2.015, -0.0014017736140423441, 165.77159802306426
17.334, 0.0009345157426948963, 165.79690280065896
32.667, 0.0023362893567372405, 165.77159802306426
48.029, -0.0023362893567372405, 165.75472817133442
63.365, -0.0014017736140423441, 165.77159802306426
78.695, -0.0014017736140423441, 165.78003294892915
94.158, -0.008877899555601514, 165.74629324546953
109.483, -0.0023362893567372405, 165.79690280065898
124.811, -0.004672578713474481, 165.78003294892915
140.145, -0.009345157426948962, 165.75472817133442
155.478, -0.008410641684254065, 165.78846787479404
170.804, -0.012615962526381098, 165.75472817133442
186.124, -0.015419509754465788, 165.78003294892915
201.505, -0.00981241529829641, 165.79690280065898
216.855, -0.015419509754465788, 165.75472817133442
232.182, -0.021961119953330062, 165.78003294892915
247.503, -0.01728854123985558, 165.77159802306426
262.829, -0.021026604210635163, 165.80533772652387
278.15, -0.01962483059659282, 165.77159802306426
293.502, -0.018223056982550473, 165.78846787479404
308.829, -0.023830151438719853, 165.78846787479404
324.161, -0.025231925052762196, 165.7631630971993
339.577, -0.030371761637584125, 165.76316309719934
354.911, -0.028502730152194334, 165.78003294892915
370.399, -0.026633698666804543, 165.79690280065896
385.716, -0.030371761637584125, 165.77159802306426
401.04, -0.036446113965100946, 165.78846787479404
416.375, -0.03457708247971116, 165.8137726523888
431.701, -0.035044340351058606, 165.80533772652387
447.03, -0.035044340351058606, 165.80533772652387
462.356, -0.03878240332183819, 165.78003294892915
477.686, -0.040651434807227986, 165.7631630971993
493.009, -0.040651434807227986, 165.78846787479404
508.463, -0.03878240332183819, 165.79690280065896
523.785, -0.04672578713474481, 165.81377265238876
539.114, -0.04345498203531267, 165.80533772652387
554.474, -0.045791271392049915, 165.78846787479404
569.811, -0.0495293343628295, 165.78003294892915
585.141, -0.05046385010552439, 165.8222075782537
600.474, -0.05373465520495653, 165.8222075782537
615.792, -0.05700546030438867, 165.80533772652387
631.136, -0.05186562371956673, 165.80533772652387
646.572, -0.05607094456169377, 165.7631630971993
661.926, -0.053267397333609086, 165.79690280065898
677.263, -0.05420191307630398, 165.8306425041186
692.597, -0.051398365848219295, 165.79690280065898
707.914, -0.05840723391843101, 165.81377265238876
723.231, -0.06167803901786315, 165.78846787479404
738.578, -0.05747271817573612, 165.78846787479404
753.909, -0.06401432837460039, 165.81377265238876
769.375, -0.06728513347403252, 165.78846787479404
784.747, -0.06354707050325294, 165.80533772652387
800.079, -0.071957712187507, 165.8222075782537
815.399, -0.06868690708807486, 165.78003294892915
830.837, -0.07102319644481211, 165.8222075782537
846.161, -0.07335948580154936, 165.8222075782537
861.562, -0.06962142283076976, 165.78846787479404
876.889, -0.071957712187507, 165.79690280065896
892.208, -0.07709754877232895, 165.81377265238876
907.531, -0.07896658025771873, 165.80533772652387
922.854, -0.08130286961445597, 165.8222075782537
938.304, -0.08270464322849831, 165.79690280065898
953.625, -0.08083561174310852, 165.78003294892915
968.945, -0.07896658025771873, 165.8306425041186
984.295, -0.08223738535715087, 165.84751235584844
999.615, -0.07896658025771873, 165.8222075782537
1014.95, -0.08504093258523555, 165.80533772652387
1030.403, -0.08363915897119321, 165.8222075782537
1045.799, -0.085508190456583, 165.8137726523888
1061.215, -0.08363915897119321, 165.80533772652387
1076.542, -0.08504093258523555, 165.83907742998352
1091.858, -0.08831173768466768, 165.8137726523888
1107.181, -0.09251705852679472, 165.8222075782537
1122.501, -0.09485334788353195, 165.79690280065896
1137.847, -0.09952592659700644, 165.83907742998352
1153.185, -0.10279673169643859, 165.81377265238876
1168.515, -0.10560027892452327, 165.78846787479407
1183.832, -0.10326398956778604, 165.80533772652387
1199.205, -0.10326398956778604, 165.81377265238876
1214.535, -0.10793656828126051, 165.8222075782537
1229.855, -0.10793656828126051, 165.83907742998352
1245.175, -0.1098055997666503, 165.8306425041186
1260.505, -0.10840382615260796, 165.8222075782537
1275.841, -0.11027285763799774, 165.8222075782537
1291.151, -0.1098055997666503, 165.79690280065898
1306.479, -0.10840382615260796, 165.78003294892915
1321.802, -0.11587995209416713, 165.8222075782537
1337.136, -0.1186834993222518, 165.80533772652387
1352.493, -0.11494543635147224, 165.8222075782537
1367.829, -0.11587995209416713, 165.80533772652387
