Sweep Expansion, 5
Set Current, 128.061
Power (mW), 11.06
t (s), Frequency Drift (GHz), Active Current (mA) 
2.329, 0.001911559364862937, 127.97469522240527
14.655, 0.0015292474918903495, 127.92408566721582
26.982, 0.0, 127.94939044481055
39.319, -0.0007646237459451747, 127.95782537067545
51.654, 0.00038231187297258737, 127.98313014827019
