Timestamp,Instrument Wavelength,Instrument Intensity,
6792.861,384229.5264,0.296, 
6802.867,384229.5189,0.292, 
21069.868,384229.4351,0.273, 
21079.876,384229.4374,0.276, 
21089.886,384229.4491,0.263, 
21099.888,384229.4343,0.27, 
21109.897,384229.4438,0.263, 
21119.897,384229.4384,0.265, 
21129.899,384229.4331,0.277, 
21139.904,384229.4398,0.264, 
21149.908,384229.4259,0.27, 
21159.909,384229.4291,0.271, 
21170.208,384229.4328,0.268, 
21180.212,384229.4356,0.271, 
21190.22,384229.4409,0.261, 
21200.484,384229.4503,0.275, 
