Timestamp,Instrument Wavelength,Instrument Intensity,
0,384228.8149,0.252, 
5,384228.8144,0.249, 
10,384228.8139,0.258, 
15,384228.813,0.253, 
20.003,384228.8111,0.254, 
25.01,384228.8128,0.255, 
30.01,384228.8128,0.257, 
35.01,384228.813,0.259, 
40.012,384228.81,0.264, 
45.017,384228.8092,0.262, 
50.022,384228.8113,0.265, 
55.03,384228.8086,0.266, 
60.03,384228.809,0.261, 
65.03,384228.8093,0.26, 
70.036,384228.8129,0.266, 
75.04,384228.8121,0.259, 
80.05,384228.8124,0.258, 
85.05,384228.811,0.268, 
90.053,384228.8115,0.269, 
95.059,384228.8159,0.268, 
100.06,384228.8147,0.271, 
105.061,384228.8105,0.266, 
110.066,384228.8121,0.262, 
115.071,384228.8139,0.273, 
120.08,384228.8149,0.274, 
125.088,384228.8129,0.274, 
130.09,384228.8091,0.269, 
135.099,384228.8103,0.273, 
140.102,384228.8099,0.276, 
145.103,384228.8137,0.278, 
150.103,384228.8141,0.275, 
155.11,384228.8114,0.278, 
160.11,384228.8133,0.273, 
165.118,384228.8113,0.279, 
170.12,384228.8099,0.278, 
175.12,384228.8146,0.278, 
180.127,384228.8113,0.287, 
185.128,384228.813,0.285, 
190.13,384228.8142,0.284, 
195.13,384228.8093,0.285, 
200.13,384228.8076,0.281, 
205.13,384228.81,0.279, 
210.13,384228.8114,0.281, 
215.13,384228.8104,0.286, 
220.13,384228.8131,0.285, 
225.136,384228.8115,0.283, 
230.142,384228.8103,0.293, 
235.146,384228.8128,0.284, 
240.149,384228.8106,0.288, 
245.15,384228.8107,0.287, 
250.15,384228.8132,0.287, 
255.154,384228.8141,0.286, 
260.156,384228.8136,0.291, 
265.162,384228.8121,0.293, 
270.17,384228.8122,0.29, 
275.17,384228.8137,0.289, 
280.175,384228.8124,0.296, 
285.179,384228.8118,0.293, 
290.182,384228.8156,0.293, 
295.19,384228.8128,0.293, 
300.19,384228.8145,0.297, 
305.19,384228.814,0.298, 
310.19,384228.815,0.297, 
315.197,384228.8168,0.296, 
320.201,384228.8132,0.298, 
325.21,384228.8146,0.3, 
330.219,384228.8175,0.299, 
335.22,384228.8139,0.306, 
340.22,384228.8144,0.3, 
345.221,384228.8167,0.297, 
350.236,384228.8142,0.301, 
355.241,384228.8176,0.297, 
360.256,384228.8201,0.305, 
365.26,384228.8151,0.306, 
370.261,384228.8191,0.3, 
375.265,384228.8185,0.301, 
380.267,384228.8181,0.311, 
385.267,384228.8196,0.305, 
390.27,384228.8207,0.306, 
395.276,384228.8206,0.301, 
400.28,384228.818,0.301, 
405.296,384228.8207,0.299, 
410.3,384228.8194,0.3, 
415.3,384228.8214,0.299, 
420.3,384228.82,0.298, 
425.3,384228.8204,0.305, 
430.306,384228.8215,0.298, 
435.316,384228.8223,0.3, 
440.316,384228.822,0.304, 
445.32,384228.8217,0.312, 
450.321,384228.8204,0.316, 
455.328,384228.8199,0.307, 
460.33,384228.8232,0.306, 
465.33,384228.8234,0.305, 
470.33,384228.8228,0.301, 
475.331,384228.8213,0.306, 
480.337,384228.8221,0.303, 
485.347,384228.8212,0.3, 
490.351,384228.8219,0.301, 
495.357,384228.8237,0.302, 
500.369,384228.8239,0.308, 
505.369,384228.8213,0.31, 
