Timestamp,Instrument Wavelength,Instrument Intensity
0.0, 384229.0606, 0.339, 
10.012, 384229.0591, 0.356, 
20.017, 384229.0618, 0.347, 
30.017, 384229.0550, 0.347, 
40.018, 384229.0605, 0.341, 
50.026, 384229.0575, 0.344, 
60.042, 384229.0605, 0.341, 
70.052, 384229.0595, 0.346, 
80.057, 384229.0691, 0.343, 
90.06, 384229.0607, 0.341, 
100.062, 384229.0664, 0.344, 
110.064, 384229.0578, 0.352, 
120.066, 384229.0669, 0.343, 
130.07, 384229.0615, 0.349, 
140.071, 384229.0603, 0.339, 
150.082, 384229.0556, 0.348, 
160.087, 384229.0537, 0.345, 
170.092, 384229.0579, 0.341, 
180.103, 384229.0608, 0.354, 
190.108, 384229.0597, 0.350, 
200.113, 384229.0567, 0.353, 
210.116, 384229.0601, 0.350, 
220.126, 384229.0605, 0.342, 
230.141, 384229.0596, 0.341, 
240.147, 384229.0563, 0.347, 
250.158, 384229.0632, 0.344, 
260.161, 384229.0620, 0.344, 
270.166, 384229.0573, 0.354, 
280.17, 384229.0595, 0.339, 
290.171, 384229.0575, 0.339, 
300.173, 384229.0591, 0.341, 
310.182, 384229.0486, 0.346, 
320.192, 384229.0544, 0.342, 
330.204, 384229.0541, 0.344, 
340.21, 384229.0545, 0.342, 
350.211, 384229.0513, 0.341, 
360.216, 384229.0540, 0.340, 
370.225, 384229.0448, 0.350, 
380.226, 384229.0484, 0.350, 
390.237, 384229.0439, 0.351, 
400.252, 384229.0597, 0.344, 
410.26, 384229.0561, 0.343, 
420.262, 384229.0571, 0.352, 
430.265, 384229.0600, 0.353, 
440.275, 384229.0535, 0.351, 
450.278, 384229.0591, 0.346, 
460.292, 384229.0554, 0.353, 
470.3, 384229.0536, 0.354, 
480.304, 384229.0562, 0.346, 
490.311, 384229.0573, 0.352, 
500.316, 384229.0572, 0.343, 
510.316, 384229.0515, 0.345, 
520.321, 384229.0557, 0.349, 
530.327, 384229.0504, 0.350, 
540.328, 384229.0538, 0.360, 
550.338, 384229.0517, 0.356, 
560.35, 384229.0572, 0.350, 
570.35, 384229.0557, 0.348, 
580.352, 384229.0573, 0.347, 
590.356, 384229.0569, 0.350, 
