Timestamp,Instrument Wavelength,Instrument Intensity
2021-07-28T12:19:07.528,384228.8149,0.252
2021-07-28T12:19:12.528,384228.8144,0.249
2021-07-28T12:19:17.528,384228.8139,0.258
2021-07-28T12:19:22.528,384228.8130,0.253
2021-07-28T12:19:27.531,384228.8111,0.254
2021-07-28T12:19:32.538,384228.8128,0.255
2021-07-28T12:19:37.538,384228.8128,0.257
2021-07-28T12:19:42.538,384228.8130,0.259
2021-07-28T12:19:47.540,384228.8100,0.264
2021-07-28T12:19:52.545,384228.8092,0.262
2021-07-28T12:19:57.550,384228.8113,0.265
2021-07-28T12:20:02.558,384228.8086,0.266
2021-07-28T12:20:07.558,384228.8090,0.261
2021-07-28T12:20:12.558,384228.8093,0.260
2021-07-28T12:20:17.564,384228.8129,0.266
2021-07-28T12:20:22.568,384228.8121,0.259
2021-07-28T12:20:27.578,384228.8124,0.258
2021-07-28T12:20:32.578,384228.8110,0.268
2021-07-28T12:20:37.581,384228.8115,0.269
2021-07-28T12:20:42.587,384228.8159,0.268
2021-07-28T12:20:47.588,384228.8147,0.271
2021-07-28T12:20:52.589,384228.8105,0.266
2021-07-28T12:20:57.594,384228.8121,0.262
2021-07-28T12:21:02.599,384228.8139,0.273
2021-07-28T12:21:07.608,384228.8149,0.274
2021-07-28T12:21:12.616,384228.8129,0.274
2021-07-28T12:21:17.618,384228.8091,0.269
2021-07-28T12:21:22.627,384228.8103,0.273
2021-07-28T12:21:27.630,384228.8099,0.276
2021-07-28T12:21:32.631,384228.8137,0.278
2021-07-28T12:21:37.631,384228.8141,0.275
2021-07-28T12:21:42.638,384228.8114,0.278
2021-07-28T12:21:47.638,384228.8133,0.273
2021-07-28T12:21:52.646,384228.8113,0.279
2021-07-28T12:21:57.648,384228.8099,0.278
2021-07-28T12:22:02.648,384228.8146,0.278
2021-07-28T12:22:07.655,384228.8113,0.287
2021-07-28T12:22:12.656,384228.8130,0.285
2021-07-28T12:22:17.658,384228.8142,0.284
2021-07-28T12:22:22.658,384228.8093,0.285
2021-07-28T12:22:27.658,384228.8076,0.281
2021-07-28T12:22:32.658,384228.8100,0.279
2021-07-28T12:22:37.658,384228.8114,0.281
2021-07-28T12:22:42.658,384228.8104,0.286
2021-07-28T12:22:47.658,384228.8131,0.285
2021-07-28T12:22:52.664,384228.8115,0.283
2021-07-28T12:22:57.670,384228.8103,0.293
2021-07-28T12:23:02.674,384228.8128,0.284
2021-07-28T12:23:07.677,384228.8106,0.288
2021-07-28T12:23:12.678,384228.8107,0.287
2021-07-28T12:23:17.678,384228.8132,0.287
2021-07-28T12:23:22.682,384228.8141,0.286
2021-07-28T12:23:27.684,384228.8136,0.291
2021-07-28T12:23:32.690,384228.8121,0.293
2021-07-28T12:23:37.698,384228.8122,0.290
2021-07-28T12:23:42.698,384228.8137,0.289
2021-07-28T12:23:47.703,384228.8124,0.296
2021-07-28T12:23:52.707,384228.8118,0.293
2021-07-28T12:23:57.710,384228.8156,0.293
2021-07-28T12:24:02.718,384228.8128,0.293
2021-07-28T12:24:07.718,384228.8145,0.297
2021-07-28T12:24:12.718,384228.8140,0.298
2021-07-28T12:24:17.718,384228.8150,0.297
2021-07-28T12:24:22.725,384228.8168,0.296
2021-07-28T12:24:27.729,384228.8132,0.298
2021-07-28T12:24:32.738,384228.8146,0.300
2021-07-28T12:24:37.747,384228.8175,0.299
2021-07-28T12:24:42.748,384228.8139,0.306
2021-07-28T12:24:47.748,384228.8144,0.300
2021-07-28T12:24:52.749,384228.8167,0.297
2021-07-28T12:24:57.764,384228.8142,0.301
2021-07-28T12:25:02.769,384228.8176,0.297
2021-07-28T12:25:07.784,384228.8201,0.305
2021-07-28T12:25:12.788,384228.8151,0.306
2021-07-28T12:25:17.789,384228.8191,0.300
2021-07-28T12:25:22.793,384228.8185,0.301
2021-07-28T12:25:27.795,384228.8181,0.311
2021-07-28T12:25:32.795,384228.8196,0.305
2021-07-28T12:25:37.798,384228.8207,0.306
2021-07-28T12:25:42.804,384228.8206,0.301
2021-07-28T12:25:47.808,384228.8180,0.301
2021-07-28T12:25:52.824,384228.8207,0.299
2021-07-28T12:25:57.828,384228.8194,0.300
2021-07-28T12:26:02.828,384228.8214,0.299
2021-07-28T12:26:07.828,384228.8200,0.298
2021-07-28T12:26:12.828,384228.8204,0.305
2021-07-28T12:26:17.834,384228.8215,0.298
2021-07-28T12:26:22.844,384228.8223,0.300
2021-07-28T12:26:27.844,384228.8220,0.304
2021-07-28T12:26:32.848,384228.8217,0.312
