Timestamp,Instrument Wavelength,Instrument Intensity
881.028, 384228.8065, 0.261, 
886.035, 384228.8029, 0.262, 
891.035, 384228.8030, 0.261, 
896.045, 384228.8045, 0.257, 
901.058, 384228.8032, 0.256, 
906.068, 384228.8017, 0.260, 
911.069, 384228.8043, 0.258, 
916.071, 384228.8043, 0.258, 
921.079, 384228.8052, 0.256, 
926.079, 384228.8002, 0.260, 
931.083, 384228.8013, 0.259, 
936.091, 384228.8042, 0.252, 
941.101, 384228.8046, 0.256, 
946.104, 384228.8100, 0.258, 
951.104, 384228.8068, 0.259, 
956.104, 384228.8113, 0.258, 
961.11, 384228.8098, 0.259, 
966.115, 384228.8088, 0.258, 
971.12, 384228.8109, 0.258, 
976.122, 384228.8126, 0.256, 
981.123, 384228.8054, 0.259, 
986.125, 384228.8090, 0.258, 
991.132, 384228.8081, 0.257, 
996.137, 384228.8111, 0.259, 
1001.149, 384228.8078, 0.257, 
1006.154, 384228.8036, 0.255, 
1011.16, 384228.8055, 0.257, 
1016.164, 384228.8109, 0.259, 
1021.17, 384228.8106, 0.258, 
1026.178, 384228.8113, 0.258, 
1031.179, 384228.8011, 0.255, 
1036.185, 384228.8067, 0.247, 
1041.198, 384228.8037, 0.252, 
1046.208, 384228.8083, 0.249, 
1051.21, 384228.8033, 0.254, 
1056.211, 384228.8060, 0.248, 
1061.218, 384228.8068, 0.254, 
1066.231, 384228.8012, 0.256, 
1071.231, 384228.7997, 0.255, 
1076.232, 384228.8066, 0.251, 
1081.232, 384228.8041, 0.253, 
1086.232, 384228.8091, 0.249, 
1091.236, 384228.8043, 0.253, 
1096.247, 384228.8112, 0.248, 
1101.254, 384228.8052, 0.248, 
1106.258, 384228.8043, 0.249, 
1111.263, 384228.8090, 0.247, 
1116.264, 384228.8031, 0.246, 
1121.269, 384228.7969, 0.246, 
1126.275, 384228.8001, 0.246, 
1131.28, 384228.7994, 0.248, 
1136.28, 384228.8068, 0.250, 
1141.283, 384228.7991, 0.248, 
1146.29, 384228.8072, 0.248, 
1151.295, 384228.8095, 0.245, 
1156.297, 384228.8028, 0.245, 
1161.303, 384228.8028, 0.248, 
1166.308, 384228.7990, 0.251, 
1171.312, 384228.7985, 0.252, 
1176.322, 384228.7966, 0.254, 
1181.323, 384228.8043, 0.253, 
1186.329, 384228.7973, 0.255, 
1191.337, 384228.8022, 0.256, 
1196.337, 384228.8035, 0.253, 
