Timestamp,Instrument Wavelength,Instrument Intensity
1.766, 384229.1914, 0.155, 
1.776, 384229.1987, 0.150, 
1.786, 384229.2094, 0.153, 
1.797, 384229.2168, 0.157, 
1.805, 384229.2288, 0.158, 
1.816, 384229.2378, 0.155, 
1.826, 384229.2489, 0.149, 
1.836, 384229.2563, 0.151, 
1.845, 384229.2684, 0.156, 
1.856, 384229.2760, 0.158, 
1.865, 384229.2867, 0.153, 
1.876, 384229.2946, 0.149, 
1.885, 384229.3071, 0.150, 
1.896, 384229.3144, 0.153, 
1.905, 384229.3255, 0.156, 
1.916, 384229.3329, 0.154, 
1.925, 384229.3456, 0.149, 
1.936, 384229.3531, 0.148, 
1.945, 384229.3647, 0.153, 
1.957, 384229.3723, 0.155, 
1.966, 384229.3837, 0.153, 
1.976, 384229.3926, 0.149, 
1.985, 384229.4034, 0.148, 
1.996, 384229.4116, 0.151, 
2.006, 384229.4226, 0.153, 
2.016, 384229.4306, 0.153, 
2.026, 384229.4436, 0.148, 
2.036, 384229.4506, 0.147, 
2.045, 384229.4622, 0.149, 
2.056, 384229.4697, 0.152, 
2.066, 384229.4825, 0.152, 
2.077, 384229.4910, 0.150, 
2.087, 384229.5022, 0.146, 
2.096, 384229.5094, 0.147, 
2.105, 384229.5194, 0.151, 
2.116, 384229.5285, 0.153, 
2.127, 384229.5423, 0.148, 
2.136, 384229.5498, 0.146, 
2.146, 384229.5605, 0.147, 
2.159, 384229.5717, 0.151, 
2.166, 384229.5794, 0.151, 
2.176, 384229.5900, 0.149, 
2.186, 384229.6009, 0.146, 
2.196, 384229.6078, 0.146, 
2.205, 384229.6181, 0.149, 
2.216, 384229.6266, 0.151, 
2.227, 384229.6395, 0.148, 
2.236, 384229.6471, 0.145, 
2.246, 384229.6590, 0.145, 
2.256, 384229.6665, 0.148, 
2.266, 384229.6776, 0.150, 
2.276, 384229.6859, 0.149, 
2.287, 384229.6981, 0.145, 
2.296, 384229.7063, 0.145, 
2.305, 384229.7178, 0.147, 
2.317, 384229.7245, 0.149, 
2.327, 384229.7208, 0.147, 
2.337, 384229.7147, 0.146, 
2.346, 384229.7027, 0.144, 
2.356, 384229.6963, 0.145, 
2.366, 384229.6852, 0.149, 
2.376, 384229.6781, 0.150, 
2.387, 384229.6677, 0.148, 
2.396, 384229.6604, 0.145, 
2.405, 384229.6484, 0.145, 
2.416, 384229.6419, 0.147, 
2.425, 384229.6297, 0.151, 
2.436, 384229.6210, 0.150, 
2.445, 384229.6113, 0.147, 
2.456, 384229.6043, 0.145, 
2.469, 384229.5913, 0.150, 
2.475, 384229.5866, 0.150, 
2.485, 384229.5731, 0.151, 
2.496, 384229.5657, 0.150, 
2.506, 384229.5563, 0.146, 
2.516, 384229.5489, 0.146, 
2.526, 384229.5370, 0.150, 
2.536, 384229.5283, 0.152, 
2.545, 384229.5176, 0.151, 
2.556, 384229.5110, 0.148, 
2.569, 384229.4961, 0.147, 
2.577, 384229.4921, 0.150, 
2.585, 384229.4789, 0.153, 
2.596, 384229.4712, 0.152, 
2.606, 384229.4598, 0.150, 
2.616, 384229.4532, 0.147, 
2.625, 384229.4425, 0.148, 
2.636, 384229.4340, 0.152, 
2.646, 384229.4213, 0.154, 
2.656, 384229.4148, 0.152, 
2.666, 384229.4028, 0.147, 
2.676, 384229.3948, 0.147, 
2.685, 384229.3836, 0.152, 
2.696, 384229.3752, 0.155, 
2.706, 384229.3648, 0.153, 
2.716, 384229.3565, 0.150, 
2.726, 384229.3444, 0.147, 
2.736, 384229.3375, 0.151, 
2.746, 384229.3251, 0.156, 
2.756, 384229.3194, 0.155, 
2.765, 384229.3062, 0.150, 
2.776, 384229.2992, 0.148, 
2.785, 384229.2867, 0.152, 
2.796, 384229.2791, 0.156, 
2.805, 384229.2674, 0.156, 
2.816, 384229.2611, 0.153, 
2.825, 384229.2493, 0.149, 
2.836, 384229.2421, 0.151, 
2.845, 384229.2293, 0.157, 
2.856, 384229.2209, 0.158, 
2.866, 384229.2095, 0.155, 
2.882, 384229.1943, 0.151, 
2.887, 384229.1918, 0.153, 
2.896, 384229.1826, 0.156, 
2.906, 384229.1712, 0.159, 
2.916, 384229.1639, 0.157, 
2.925, 384229.1511, 0.152, 
2.936, 384229.1448, 0.153, 
2.946, 384229.1326, 0.159, 
2.956, 384229.1239, 0.160, 
2.965, 384229.1140, 0.158, 
2.976, 384229.1046, 0.153, 
2.986, 384229.0936, 0.153, 
2.996, 384229.0865, 0.158, 
3.006, 384229.0742, 0.161, 
3.016, 384229.0668, 0.160, 
3.025, 384229.0554, 0.153, 
3.036, 384229.0475, 0.152, 
3.045, 384229.0358, 0.159, 
3.056, 384229.0276, 0.162, 
3.065, 384229.0178, 0.160, 
3.076, 384229.0096, 0.155, 
3.087, 384228.9966, 0.153, 
3.096, 384228.9897, 0.158, 
3.105, 384228.9777, 0.163, 
3.116, 384228.9702, 0.162, 
3.125, 384228.9589, 0.154, 
3.136, 384228.9503, 0.153, 
3.145, 384228.9379, 0.159, 
3.156, 384228.9315, 0.164, 
3.165, 384228.9207, 0.162, 
3.176, 384228.9126, 0.157, 
3.186, 384228.8986, 0.154, 
3.196, 384228.8911, 0.157, 
3.206, 384228.8816, 0.165, 
3.216, 384228.8726, 0.165, 
3.226, 384228.8604, 0.158, 
3.237, 384228.8530, 0.155, 
3.246, 384228.8427, 0.160, 
3.256, 384228.8344, 0.166, 
3.265, 384228.8221, 0.165, 
3.276, 384228.8148, 0.160, 
3.286, 384228.8019, 0.155, 
3.296, 384228.7957, 0.159, 
3.305, 384228.7831, 0.167, 
3.317, 384228.7766, 0.167, 
3.325, 384228.7802, 0.167, 
3.336, 384228.7862, 0.165, 
3.346, 384228.7972, 0.158, 
3.356, 384228.8048, 0.156, 
3.366, 384228.8154, 0.161, 
3.376, 384228.8223, 0.164, 
3.385, 384228.8332, 0.165, 
3.396, 384228.8413, 0.160, 
3.406, 384228.8515, 0.155, 
3.416, 384228.8578, 0.156, 
3.425, 384228.8687, 0.163, 
3.435, 384228.8763, 0.165, 
3.446, 384228.8868, 0.161, 
3.456, 384228.8930, 0.156, 
3.466, 384228.9060, 0.155, 
3.476, 384228.9147, 0.159, 
3.486, 384228.9246, 0.165, 
3.496, 384228.9315, 0.163, 
3.506, 384228.9417, 0.156, 
3.516, 384228.9494, 0.154, 
3.526, 384228.9632, 0.158, 
3.536, 384228.9698, 0.162, 
3.546, 384228.9792, 0.163, 
3.556, 384228.9876, 0.159, 
3.566, 384228.9974, 0.153, 
3.576, 384229.0067, 0.155, 
3.585, 384229.0183, 0.161, 
3.596, 384229.0249, 0.162, 
3.605, 384229.0366, 0.158, 
3.616, 384229.0439, 0.153, 
3.626, 384229.0552, 0.154, 
3.636, 384229.0643, 0.159, 
3.646, 384229.0741, 0.161, 
3.656, 384229.0827, 0.160, 
3.666, 384229.0941, 0.153, 
3.676, 384229.1014, 0.152, 
3.686, 384229.1130, 0.158, 
3.696, 384229.1200, 0.160, 
3.706, 384229.1325, 0.159, 
3.716, 384229.1393, 0.154, 
3.726, 384229.1505, 0.152, 
3.736, 384229.1584, 0.155, 
3.746, 384229.1703, 0.159, 
3.756, 384229.1781, 0.158, 
3.766, 384229.1895, 0.153, 
3.776, 384229.1972, 0.150, 
3.787, 384229.2091, 0.154, 
3.796, 384229.2160, 0.157, 
3.806, 384229.2267, 0.157, 
3.816, 384229.2356, 0.153, 
3.826, 384229.2487, 0.148, 
3.837, 384229.2535, 0.152, 
3.846, 384229.2662, 0.157, 
3.856, 384229.2736, 0.158, 
3.866, 384229.2863, 0.152, 
3.876, 384229.2930, 0.148, 
3.886, 384229.3059, 0.150, 
3.896, 384229.3138, 0.155, 
3.905, 384229.3238, 0.156, 
3.916, 384229.3329, 0.153, 
3.926, 384229.3439, 0.147, 
3.936, 384229.3519, 0.148, 
3.946, 384229.3637, 0.154, 
3.956, 384229.3704, 0.155, 
3.966, 384229.3842, 0.152, 
3.976, 384229.3916, 0.148, 
3.986, 384229.4035, 0.148, 
3.996, 384229.4113, 0.151, 
4.006, 384229.4209, 0.154, 
4.016, 384229.4304, 0.153, 
4.026, 384229.4423, 0.147, 
4.036, 384229.4488, 0.146, 
4.046, 384229.4608, 0.151, 
4.056, 384229.4682, 0.152, 
4.066, 384229.4820, 0.152, 
4.076, 384229.4907, 0.148, 
4.086, 384229.5005, 0.146, 
4.096, 384229.5085, 0.148, 
4.106, 384229.5199, 0.152, 
4.116, 384229.5278, 0.153, 
4.126, 384229.5409, 0.149, 
4.136, 384229.5495, 0.146, 
4.146, 384229.5594, 0.148, 
4.156, 384229.5660, 0.150, 
4.166, 384229.5794, 0.152, 
4.176, 384229.5886, 0.148, 
4.186, 384229.5995, 0.145, 
4.196, 384229.6057, 0.146, 
4.215, 384229.6249, 0.150, 
4.226, 384229.6379, 0.148, 
4.236, 384229.6456, 0.145, 
4.246, 384229.6579, 0.146, 
4.256, 384229.6652, 0.148, 
4.266, 384229.6759, 0.150, 
4.276, 384229.6851, 0.148, 
4.286, 384229.6970, 0.145, 
4.296, 384229.7044, 0.145, 
4.306, 384229.7178, 0.148, 
4.316, 384229.7244, 0.149, 
4.325, 384229.7196, 0.148, 
4.335, 384229.7133, 0.146, 
4.346, 384229.7023, 0.144, 
4.356, 384229.6947, 0.145, 
4.366, 384229.6837, 0.148, 
4.376, 384229.6761, 0.150, 
4.386, 384229.6663, 0.148, 
4.396, 384229.6583, 0.146, 
4.406, 384229.6468, 0.144, 
4.416, 384229.6398, 0.147, 
4.426, 384229.6296, 0.150, 
4.435, 384229.6204, 0.150, 
4.445, 384229.6101, 0.147, 
4.456, 384229.6035, 0.145, 
4.466, 384229.5929, 0.146, 
