Timestamp,Instrument Wavelength,Instrument Intensity
2021-07-28T11:52:55.730,384228.8049,0.263
2021-07-28T11:53:00.738,384228.8028,0.265
2021-07-28T11:53:05.742,384228.8025,0.266
2021-07-28T11:53:10.744,384228.8038,0.265
2021-07-28T11:53:15.744,384228.8006,0.266
2021-07-28T11:53:20.744,384228.8004,0.265
2021-07-28T11:53:25.758,384228.7995,0.267
2021-07-28T11:53:30.758,384228.8020,0.266
2021-07-28T11:53:35.761,384228.8025,0.268
2021-07-28T11:53:40.763,384228.8013,0.268
2021-07-28T11:53:45.767,384228.8076,0.267
2021-07-28T11:53:50.777,384228.8081,0.268
2021-07-28T11:53:55.782,384228.8064,0.270
2021-07-28T11:54:00.798,384228.8056,0.265
2021-07-28T11:54:05.799,384228.8028,0.268
2021-07-28T11:54:10.805,384228.8057,0.263
2021-07-28T11:54:15.806,384228.8085,0.263
2021-07-28T11:54:20.835,384228.8094,0.263
2021-07-28T11:54:25.836,384228.8094,0.264
2021-07-28T11:54:30.843,384228.8066,0.268
2021-07-28T11:54:35.852,384228.8030,0.264
2021-07-28T11:54:40.856,384228.8006,0.260
2021-07-28T11:54:45.862,384228.8065,0.261
2021-07-28T11:54:50.866,384228.8028,0.260
2021-07-28T11:54:55.870,384228.7993,0.261
2021-07-28T11:55:00.870,384228.8028,0.256
2021-07-28T11:55:05.870,384228.8053,0.253
2021-07-28T11:55:10.876,384228.8067,0.260
2021-07-28T11:55:15.887,384228.8058,0.260
2021-07-28T11:55:20.889,384228.8001,0.264
2021-07-28T11:55:25.890,384228.8020,0.263
2021-07-28T11:55:30.891,384228.8102,0.260
2021-07-28T11:55:35.891,384228.8126,0.261
2021-07-28T11:55:40.897,384228.8064,0.263
2021-07-28T11:55:45.910,384228.8034,0.257
2021-07-28T11:55:50.911,384228.8093,0.256
2021-07-28T11:55:55.915,384228.8053,0.263
2021-07-28T11:56:00.929,384228.8069,0.260
2021-07-28T11:56:05.933,384228.8040,0.260
2021-07-28T11:56:10.940,384228.8024,0.262
2021-07-28T11:56:15.948,384228.8020,0.262
2021-07-28T11:56:20.961,384228.8016,0.261
2021-07-28T11:56:25.983,384228.8042,0.262
2021-07-28T11:56:30.992,384228.8035,0.262
2021-07-28T11:56:35.999,384228.8030,0.261
2021-07-28T11:56:41.001,384228.8089,0.264
2021-07-28T11:56:46.002,384228.8053,0.263
2021-07-28T11:56:51.006,384228.8059,0.261
2021-07-28T11:56:56.011,384228.8044,0.260
2021-07-28T11:57:01.020,384228.8065,0.261
2021-07-28T11:57:06.027,384228.8029,0.262
2021-07-28T11:57:11.027,384228.8030,0.261
2021-07-28T11:57:16.037,384228.8045,0.257
2021-07-28T11:57:21.050,384228.8032,0.256
