"Piezo Voltage (V)";"(none) ()";"Fine In 1 (V)";
65.442505;0.192468;0.256192;
65.446198;0.190218;0.256658;
65.449890;0.192557;0.257088;
65.453590;0.190163;0.257430;
65.457283;0.188799;0.257676;
65.460968;0.191360;0.257911;
65.464645;0.189180;0.258041;
65.468361;0.189566;0.257917;
65.472054;0.192288;0.257808;
65.475746;0.189679;0.257455;
65.479431;0.190607;0.257178;
65.483124;0.191606;0.256969;
65.486824;0.188259;0.256500;
65.490517;0.189458;0.256037;
65.494209;0.189431;0.255528;
65.497910;0.186858;0.255159;
65.501579;0.189570;0.254796;
65.505287;0.189630;0.254512;
65.508980;0.187643;0.254180;
65.512672;0.190777;0.254108;
65.516373;0.189234;0.254078;
65.520058;0.187582;0.254221;
65.523750;0.189482;0.254406;
65.527443;0.186781;0.254796;
65.531143;0.186269;0.255366;
65.534836;0.188514;0.255820;
65.538506;0.186124;0.256306;
65.542213;0.187179;0.257055;
65.545906;0.189333;0.257673;
65.549606;0.186547;0.258084;
65.553299;0.187799;0.258463;
65.556984;0.188009;0.258855;
65.560677;0.184932;0.259173;
65.564369;0.186512;0.259341;
65.568069;0.185981;0.259350;
65.571762;0.183951;0.259428;
65.575432;0.186850;0.259403;
65.579147;0.186300;0.259208;
65.582840;0.184943;0.258913;
65.586533;0.187575;0.258705;
65.590225;0.185434;0.258467;
65.593910;0.184364;0.258237;
65.597610;0.186079;0.257813;
65.601303;0.183298;0.257488;
65.604996;0.183249;0.257233;
65.608688;0.185236;0.257091;
65.612373;0.182990;0.256916;
65.616074;0.184359;0.256736;
65.619766;0.185772;0.256750;
65.623459;0.183104;0.256970;
65.627151;0.184604;0.257137;
65.630852;0.184119;0.257432;
65.634537;0.181255;0.257838;
65.638229;0.183231;0.258368;
65.641922;0.182481;0.258782;
65.645599;0.180784;0.259198;
65.649315;0.183673;0.259685;
65.653000;0.182696;0.260100;
65.656693;0.181766;0.260435;
65.660393;0.184129;0.260686;
65.664085;0.181456;0.260861;
65.667778;0.180851;0.260921;
65.671463;0.182291;0.260961;
65.675163;0.179612;0.260913;
65.678856;0.180109;0.260683;
65.682526;0.181818;0.260322;
65.686241;0.179704;0.260119;
65.689926;0.181489;0.259726;
65.693626;0.182379;0.259139;
65.697319;0.179992;0.258642;
65.701012;0.181743;0.258195;
65.704704;0.180969;0.257721;
65.708389;0.178843;0.257186;
65.712090;0.180701;0.256714;
65.715782;0.179593;0.256504;
65.719452;0.178770;0.256235;
65.723175;0.181335;0.256067;
65.726868;0.179902;0.256105;
65.730553;0.179461;0.256291;
65.734245;0.181051;0.256523;
65.737938;0.178523;0.256736;
65.741638;0.178687;0.257150;
65.745331;0.179222;0.257700;
65.749016;0.211583;0.258076;
65.752708;0.213310;0.258334;
65.756393;0.214047;0.258722;
65.760101;0.212150;0.258997;
65.763794;0.212616;0.259130;
65.767479;0.211247;0.259223;
65.771172;0.212278;0.259117;
65.774872;0.212329;0.258987;
65.778564;0.212254;0.258755;
65.782257;0.212864;0.258424;
65.785942;0.211407;0.258036;
65.789635;0.212053;0.257525;
65.793320;0.210692;0.256923;
65.797028;0.210357;0.256405;
65.800720;0.211033;0.255853;
65.804420;0.210130;0.255313;
65.808105;0.211596;0.254850;
65.811798;0.211356;0.254439;
65.815491;0.210796;0.254116;
65.819191;0.211304;0.253949;
65.822884;0.209694;0.253885;
65.826569;0.209669;0.253875;
65.830246;0.209814;0.254161;
65.833954;0.208757;0.254563;
65.837654;0.209959;0.254942;
65.841347;0.210009;0.255449;
65.845032;0.209459;0.255989;
65.848724;0.210735;0.256589;
65.852417;0.209427;0.257150;
65.856117;0.209150;0.257522;
65.859810;0.209124;0.257748;
65.863495;0.207777;0.258098;
65.867172;0.208300;0.258336;
65.870888;0.208567;0.258387;
65.874580;0.207895;0.258316;
65.878273;0.209289;0.258186;
65.881973;0.209008;0.257961;
65.885658;0.208296;0.257736;
65.889351;0.208916;0.257468;
65.893044;0.207422;0.257102;
65.896736;0.207048;0.256709;
65.900421;0.207514;0.256436;
65.904114;0.206675;0.256051;
65.907814;0.207238;0.255716;
65.911507;0.208090;0.255404;
65.915199;0.207106;0.255395;
65.918900;0.208150;0.255277;
65.922585;0.207656;0.255305;
65.926277;0.206679;0.255429;
65.929970;0.207050;0.255631;
65.933662;0.206106;0.255923;
65.937340;0.205499;0.256434;
65.941048;0.206451;0.256965;
65.944740;0.205991;0.257424;
65.948433;0.206196;0.257765;
65.952133;0.207228;0.258331;
65.955826;0.206124;0.258873;
65.959511;0.206397;0.259307;
65.963211;0.206017;0.259587;
65.966904;0.204765;0.259817;
65.970596;0.205057;0.259927;
65.974266;0.204907;0.259901;
65.977974;0.204307;0.259919;
65.981674;0.205495;0.259806;
65.985367;0.205437;0.259639;
65.989059;0.204901;0.259370;
65.992752;0.205732;0.258986;
65.996437;0.204578;0.258501;
66.000137;0.204196;0.258081;
66.003830;0.204315;0.257647;
