"Piezo Voltage (V)";"(none) ()";"Fine In 1 (V)";
62.979336;0.279104;0.247900;
62.983028;0.279966;0.247852;
62.986698;0.276573;0.247548;
62.990406;0.275901;0.247092;
62.994106;0.278098;0.246709;
62.997799;0.275551;0.246311;
63.001492;0.274362;0.245786;
63.005192;0.277864;0.245047;
63.008869;0.277582;0.244446;
63.012569;0.275871;0.243862;
63.016262;0.278321;0.243233;
63.019955;0.279307;0.242466;
63.023632;0.276195;0.241849;
63.027340;0.276226;0.241345;
63.031033;0.277961;0.240918;
63.034725;0.274588;0.240476;
63.038418;0.273327;0.240084;
63.042118;0.276599;0.239874;
63.045803;0.275328;0.239805;
63.049496;0.274054;0.239708;
63.053188;0.277385;0.239718;
63.056881;0.277799;0.239934;
63.060566;0.275323;0.239986;
63.064266;0.276568;0.240086;
63.067959;0.277703;0.240313;
63.071651;0.274131;0.240453;
63.075352;0.273154;0.240459;
63.079044;0.275655;0.240422;
63.082729;0.273360;0.240376;
63.086430;0.272207;0.240338;
63.090122;0.275783;0.240078;
63.093807;0.275579;0.239611;
63.097492;0.273818;0.239242;
63.101192;0.276243;0.238859;
63.104893;0.276839;0.238436;
63.108585;0.273559;0.237848;
63.112278;0.273619;0.237148;
63.115971;0.275086;0.236427;
63.119671;0.271748;0.235776;
63.123356;0.271063;0.235140;
63.127048;0.274173;0.234546;
63.130718;0.272743;0.233746;
63.134434;0.271886;0.233044;
63.138134;0.275197;0.232554;
63.141819;0.275122;0.232033;
63.145512;0.272497;0.231504;
63.149204;0.273841;0.231171;
63.152897;0.274342;0.230789;
63.156597;0.270580;0.230481;
63.160282;0.270612;0.230217;
63.163975;0.272784;0.230165;
63.167660;0.270021;0.230129;
63.171368;0.269812;0.230014;
63.175060;0.273270;0.229868;
63.178745;0.272295;0.229861;
63.182438;0.270884;0.229651;
63.186138;0.273358;0.229477;
63.189831;0.272941;0.229198;
63.193523;0.269463;0.228958;
63.197208;0.270285;0.228570;
63.200909;0.270816;0.228038;
63.204586;0.267066;0.227442;
63.208294;0.267865;0.226830;
63.211987;0.270468;0.226181;
63.215672;0.268215;0.225238;
63.219372;0.268146;0.224542;
63.223064;0.271001;0.223716;
63.226757;0.269385;0.222774;
63.230450;0.266992;0.221811;
63.234135;0.268753;0.220836;
63.237835;0.267647;0.219980;
63.241512;0.263489;0.219201;
63.245220;0.264696;0.218400;
63.248920;0.265259;0.217595;
63.252613;0.261835;0.216926;
63.256298;0.262932;0.216215;
63.259991;0.264948;0.215716;
63.263691;0.262279;0.215446;
63.267384;0.261375;0.215134;
63.271076;0.262943;0.214796;
63.274761;0.259988;0.214540;
63.278439;0.256176;0.214373;
63.282154;0.257386;0.214198;
63.285847;0.255162;0.214024;
63.289539;0.250923;0.213769;
63.293224;0.252442;0.213486;
63.296917;0.251727;0.213145;
63.300617;0.247928;0.212703;
63.304310;0.248244;0.212152;
63.308002;0.248153;0.211465;
63.311687;0.243800;0.210716;
63.315372;0.240962;0.209977;
63.319080;0.240808;0.209161;
63.322773;0.235868;0.208211;
63.326466;0.231764;0.207247;
63.330166;0.232269;0.206324;
63.333851;0.228609;0.205293;
63.337543;0.225164;0.204354;
63.341236;0.226562;0.203439;
63.344936;0.225190;0.202514;
63.348614;0.222086;0.201713;
63.352306;0.224045;0.200925;
63.356007;0.227489;0.200215;
63.359699;0.219009;0.199693;
63.363400;0.215789;0.199201;
63.367092;0.216190;0.198827;
63.370777;0.214595;0.198601;
63.374470;0.220001;0.198331;
63.378162;0.214385;0.198100;
63.381863;0.204911;0.197960;
63.385540;0.199137;0.197887;
63.389233;0.197357;0.197768;
63.392933;0.193026;0.197541;
63.396633;0.188615;0.197234;
63.400326;0.188917;0.196744;
63.404018;0.188007;0.196381;
63.407719;0.185800;0.196010;
63.411404;0.186178;0.195424;
63.415096;0.186476;0.194673;
63.418789;0.184836;0.194040;
63.422466;0.187747;0.193359;
63.426182;0.190714;0.192499;
63.429867;0.190528;0.191823;
63.433559;0.192700;0.190990;
63.437252;0.196646;0.190073;
63.440945;0.196520;0.189293;
63.444645;0.198091;0.188445;
63.448330;0.203129;0.187676;
63.452023;0.203891;0.187005;
63.455715;0.205995;0.186346;
63.459393;0.212255;0.185732;
63.463108;0.214704;0.185112;
63.466793;0.216570;0.184804;
63.470486;0.222501;0.184413;
63.474178;0.225293;0.184029;
63.477879;0.225277;0.183670;
63.481571;0.229561;0.183548;
63.485256;0.232486;0.183368;
63.488956;0.231507;0.183160;
63.492649;0.235592;0.182930;
63.496319;0.239327;0.182671;
63.500034;0.238754;0.182480;
63.503719;0.242228;0.182214;
63.507420;0.246323;0.181812;
63.511112;0.245290;0.181349;
63.514805;0.245741;0.180928;
63.518497;0.248785;0.180389;
63.522182;0.246427;0.179850;
63.525883;0.244511;0.179142;
63.529575;0.247276;0.178337;
63.533245;0.245053;0.177616;
63.536961;0.242865;0.176969;
63.540661;0.245599;0.176049;
63.544346;0.243951;0.175174;
63.548038;0.240705;0.174487;
63.551739;0.241536;0.173781;
63.555431;0.239187;0.172842;
63.559124;0.233280;0.172061;
63.562809;0.231723;0.171460;
63.566502;0.229082;0.170957;
63.570187;0.222174;0.170411;
63.573895;0.219950;0.169869;
63.577587;0.217642;0.169468;
63.581272;0.211204;0.169152;
63.584965;0.208054;0.168951;
63.588665;0.205676;0.168729;
63.592358;0.198569;0.168529;
63.596050;0.192798;0.168379;
63.599735;0.189835;0.168254;
63.603428;0.182508;0.168055;
63.607121;0.175857;0.167777;
63.610821;0.173701;0.167579;
63.614513;0.167751;0.167259;
63.618198;0.162371;0.166886;
63.621899;0.161326;0.166370;
63.625591;0.157553;0.165865;
63.629284;0.153321;0.165385;
63.632984;0.153037;0.164701;
63.636677;0.151781;0.163953;
63.640354;0.149444;0.163340;
63.644047;0.153211;0.162767;
63.647747;0.161418;0.161925;
63.651447;0.161187;0.161147;
63.655140;0.163901;0.160580;
63.658825;0.161861;0.159993;
63.662518;0.147093;0.159373;
63.666210;0.140854;0.158829;
63.669910;0.138813;0.158322;
63.673603;0.133149;0.158018;
63.677280;0.129877;0.157779;
63.680973;0.130655;0.157656;
63.684681;0.128641;0.157474;
63.688374;0.128686;0.157470;
63.692066;0.132436;0.157675;
63.695751;0.133120;0.157839;
63.699444;0.135257;0.157885;
63.703144;0.140639;0.158075;
63.706837;0.143346;0.158262;
63.710529;0.145932;0.158349;
63.714207;0.151946;0.158317;
63.717915;0.155615;0.158214;
63.721607;0.157808;0.158304;
63.725300;0.164648;0.158196;
63.728992;0.169155;0.157937;
63.732693;0.171915;0.157740;
63.736378;0.179746;0.157495;
63.740070;0.185710;0.157231;
63.743763;0.188969;0.156899;
63.747463;0.196118;0.156566;
63.751133;0.202123;0.156317;
63.754841;0.203940;0.156049;
63.758533;0.209374;0.155848;
63.762226;0.214925;0.155736;
63.765926;0.215268;0.155702;
63.769619;0.219823;0.155624;
63.773304;0.225533;0.155715;
63.776997;0.226300;0.156071;
63.780689;0.230502;0.156497;
63.784389;0.236023;0.156880;
63.788059;0.236311;0.157328;
63.791767;0.237909;0.158042;
63.795467;0.242317;0.158890;
63.799160;0.240993;0.159611;
63.802853;0.240603;0.160399;
63.806545;0.244858;0.161300;
63.810246;0.243354;0.162159;
63.813931;0.243106;0.163077;
63.817623;0.247878;0.164050;
63.821316;0.247435;0.164897;
63.824986;0.246777;0.165907;
63.828709;0.250660;0.167003;
63.832394;0.249846;0.168194;
63.836086;0.246951;0.169320;
63.839779;0.249641;0.170621;
63.843472;0.248617;0.171918;
63.847172;0.245421;0.173063;
63.850857;0.249055;0.173805;
63.854549;0.248946;0.174194;
63.858242;0.246805;0.173991;
63.861912;0.250418;0.173268;
63.865635;0.251230;0.172315;
63.869320;0.248255;0.170990;
63.873013;0.250203;0.169969;
63.876713;0.250417;0.169271;
63.880405;0.246155;0.168776;
63.884098;0.247837;0.168523;
63.887783;0.248846;0.168584;
63.891483;0.245421;0.168914;
63.895168;0.248043;0.169509;
63.898861;0.250009;0.170495;
63.902561;0.247578;0.171566;
63.906246;0.249165;0.172889;
63.909946;0.250898;0.174418;
63.913639;0.247147;0.175732;
63.917332;0.246999;0.176689;
63.921024;0.248815;0.176876;
63.924709;0.244919;0.176135;
63.928410;0.245678;0.174888;
63.932095;0.248540;0.172920;
63.935787;0.246078;0.170811;
63.939495;0.246901;0.168693;
63.943188;0.250030;0.166321;
63.946873;0.247446;0.164085;
63.950565;0.246637;0.162176;
63.954266;0.249093;0.160322;
63.957958;0.245674;0.158375;
63.961651;0.244056;0.156818;
63.965336;0.247174;0.155223;
63.969021;0.244512;0.153620;
63.972721;0.244266;0.152251;
63.976421;0.248149;0.150960;
63.980114;0.246744;0.149655;
63.983799;0.245594;0.148718;
63.987492;0.248564;0.147866;
63.991192;0.246391;0.147101;
63.994884;0.243532;0.146487;
63.998577;0.246475;0.145785;
64.002266;0.244196;0.145316;
64.005951;0.241987;0.145049;
64.009659;0.245804;0.144808;
64.013351;0.244898;0.144594;
64.017044;0.243515;0.144389;
64.020744;0.247137;0.144153;
64.024429;0.246359;0.143863;
64.028122;0.243395;0.143682;
64.031815;0.245870;0.143608;
64.035515;0.244439;0.143376;
64.039207;0.240659;0.143116;
64.042877;0.243884;0.142712;
64.046585;0.243364;0.142258;
64.050278;0.241048;0.141736;
64.053978;0.244702;0.140973;
