"Time (ms)";"Fine In 2 (V)";
27.886238;0.000477;
27.984085;0.000441;
28.081932;0.000373;
28.179779;0.000379;
28.277626;-0.000054;
28.375473;-0.000617;
28.473320;-0.001373;
28.571167;-0.004315;
28.669014;0.000069;
28.766861;0.000461;
28.864708;0.000489;
28.962555;0.000480;
29.060402;0.000502;
29.158249;0.000500;
29.256096;0.000519;
29.353943;0.000500;
29.451790;0.000515;
29.549637;0.000492;
29.647484;0.000484;
29.745331;0.000511;
29.843178;0.000502;
29.941025;0.000501;
30.038872;0.000513;
30.136719;0.000498;
30.234566;0.000482;
30.332413;0.000515;
30.430260;0.000485;
30.528107;0.000506;
30.625954;0.000503;
30.723801;0.000506;
30.821648;0.000484;
30.919495;0.000478;
31.017342;0.000473;
31.115189;0.000446;
31.213036;0.000376;
31.310883;0.000291;
31.408730;-0.000072;
31.506577;-0.000567;
31.604424;-0.002754;
31.702271;-0.007723;
31.800117;0.000407;
31.897964;0.000509;
31.995811;0.000492;
32.093658;0.000506;
32.191505;0.000503;
32.289352;0.000482;
32.387199;0.000508;
32.485046;0.000497;
32.582893;0.000483;
32.680740;0.000479;
32.778587;0.000480;
32.876434;0.000508;
32.974281;0.000483;
33.072128;0.000466;
33.169975;0.000488;
33.267822;0.000516;
33.365669;0.000495;
33.463516;0.000496;
33.561363;0.000490;
33.659210;0.000489;
33.757057;0.000493;
33.854904;0.000460;
33.952751;0.000468;
34.050598;0.000448;
34.148445;0.000424;
34.246292;0.000356;
34.344139;-0.000003;
34.441986;-0.000486;
34.539833;-0.000084;
34.637680;0.000252;
34.735527;0.000366;
34.833374;0.000420;
34.931221;0.000429;
35.029068;0.000485;
35.126915;0.000495;
35.224762;0.000498;
35.322609;0.000479;
35.420456;0.000506;
35.518303;0.000490;
35.616150;0.000496;
35.713997;0.000506;
35.811844;0.000500;
35.909691;0.000494;
36.007538;0.000491;
36.105385;0.000492;
36.203232;0.000507;
36.301079;0.000504;
36.398926;0.000484;
36.496773;0.000483;
36.594620;0.000512;
36.692467;0.000509;
36.790314;0.000497;
36.888161;0.000502;
36.986008;0.000479;
37.083855;0.000472;
