"Piezo Voltage (V)";"Fine In 1 (V)";"Lock-In Out (V)";
57.180012;0.658619;0.003631;
57.180355;0.660146;0.003366;
57.180706;0.661179;0.003576;
57.181141;0.662519;0.003526;
57.181446;0.664097;0.003503;
57.181843;0.665394;0.003750;
57.182217;0.666341;0.003868;
57.182522;0.667719;0.003834;
57.182896;0.668464;0.004021;
57.183277;0.669596;0.003947;
57.183605;0.671259;0.003767;
57.184010;0.671986;0.003988;
57.184361;0.673059;0.003977;
57.184772;0.674362;0.003824;
57.185131;0.674917;0.003989;
57.185467;0.676275;0.003964;
57.185795;0.677755;0.003999;
57.186153;0.678792;0.003932;
57.186543;0.680625;0.004077;
57.186924;0.681547;0.004100;
57.187283;0.683478;0.004186;
57.187649;0.684752;0.003926;
57.187992;0.686333;0.004174;
57.188404;0.687791;0.004195;
57.188732;0.689268;0.004058;
57.189098;0.690849;0.004105;
57.189457;0.693320;0.004097;
57.189823;0.695026;0.004057;
57.190205;0.696670;0.003940;
57.190639;0.698583;0.003987;
57.190945;0.700829;0.003877;
57.191326;0.702751;0.003823;
57.191730;0.704757;0.003997;
57.192028;0.706014;0.003828;
57.192417;0.707807;0.003665;
57.192776;0.709709;0.003759;
57.193127;0.711414;0.003393;
57.193485;0.713468;0.003323;
57.193851;0.714860;0.003539;
57.194263;0.716027;0.003184;
57.194622;0.718221;0.003118;
57.195004;0.719535;0.002945;
57.195316;0.721217;0.002776;
57.195713;0.722263;0.002699;
57.196064;0.723485;0.002411;
57.196407;0.724687;0.002297;
57.196804;0.725209;0.002192;
57.197132;0.726176;0.001892;
57.197544;0.726794;0.001858;
57.197834;0.727396;0.001727;
57.198246;0.727833;0.001429;
57.198559;0.728237;0.001271;
57.198994;0.728433;0.001098;
57.199345;0.728640;0.000843;
57.199718;0.728690;0.000656;
57.200062;0.728702;0.000443;
57.200413;0.728577;0.000240;
57.200726;0.728436;0.000046;
57.201168;0.728257;-0.000182;
57.201496;0.728040;-0.000399;
57.201893;0.727733;-0.000586;
57.202290;0.727307;-0.000763;
57.202618;0.727053;-0.000922;
57.203053;0.726685;-0.001118;
57.203320;0.726392;-0.001232;
57.203663;0.725723;-0.001327;
57.203999;0.725160;-0.001525;
57.204426;0.724885;-0.001744;
57.204815;0.724275;-0.001868;
57.205158;0.723929;-0.001932;
57.205532;0.723312;-0.002043;
57.205898;0.722715;-0.002101;
57.206219;0.722084;-0.002197;
57.206585;0.721327;-0.002404;
57.206966;0.720784;-0.002418;
57.207348;0.720045;-0.002540;
57.207668;0.719510;-0.002575;
57.208111;0.718710;-0.002726;
57.208500;0.718117;-0.002696;
57.208767;0.717094;-0.002757;
57.209202;0.716632;-0.002751;
57.209499;0.715711;-0.002905;
57.209888;0.714845;-0.002826;
57.210224;0.713784;-0.002903;
57.210667;0.712689;-0.002838;
57.210957;0.711720;-0.002831;
57.211315;0.710423;-0.002866;
57.211712;0.709301;-0.002889;
57.212048;0.708132;-0.002914;
57.212437;0.707201;-0.002782;
57.212772;0.706135;-0.002945;
57.213154;0.704398;-0.002850;
57.213528;0.703279;-0.002740;
57.213894;0.702060;-0.002850;
57.214230;0.700755;-0.002715;
57.214611;0.699266;-0.002799;
57.214985;0.698427;-0.002678;
57.215405;0.696874;-0.002683;
57.215748;0.695792;-0.002594;
57.216030;0.694585;-0.002521;
57.216473;0.693483;-0.002465;
57.216816;0.692507;-0.002346;
57.217175;0.691299;-0.002401;
57.217571;0.690215;-0.002271;
57.217892;0.689259;-0.002278;
57.218258;0.688211;-0.002239;
57.218647;0.687138;-0.002093;
57.219082;0.686272;-0.002118;
57.219387;0.685494;-0.002120;
57.219753;0.684853;-0.001990;
57.220074;0.684188;-0.001941;
57.220448;0.683383;-0.001802;
57.220821;0.682810;-0.001834;
57.221172;0.682236;-0.001784;
57.221508;0.681745;-0.001630;
57.221920;0.681281;-0.001616;
57.222286;0.680776;-0.001571;
57.222645;0.680360;-0.001484;
57.223034;0.680055;-0.001394;
57.223385;0.679731;-0.001350;
57.223736;0.679443;-0.001232;
57.224133;0.679116;-0.001186;
57.224453;0.678815;-0.001147;
57.224796;0.678687;-0.001111;
57.225216;0.678407;-0.001032;
57.225544;0.678191;-0.000969;
57.225941;0.677821;-0.000903;
57.226292;0.677910;-0.000831;
57.226696;0.677714;-0.000780;
57.226955;0.677529;-0.000704;
