"Piezo Voltage (V)";"Fine In 1 (V)";"Lock-In Out (V)";
57.413967;0.471656;-0.001143;
57.414341;0.471191;-0.001064;
57.414791;0.470733;-0.001056;
57.415096;0.470283;-0.001023;
57.415424;0.470016;-0.001028;
57.415829;0.469641;-0.001010;
57.416172;0.469220;-0.001003;
57.416569;0.468874;-0.000980;
57.416874;0.468501;-0.000975;
57.417248;0.468205;-0.000970;
57.417629;0.468024;-0.000945;
57.418003;0.467599;-0.000913;
57.418339;0.467149;-0.000886;
57.418728;0.466882;-0.000845;
57.419109;0.466658;-0.000857;
57.419460;0.466493;-0.000841;
57.419842;0.465946;-0.000867;
57.420193;0.465671;-0.000795;
57.420597;0.465219;-0.000793;
57.420910;0.464916;-0.000740;
57.421284;0.464741;-0.000801;
57.421642;0.464397;-0.000774;
57.422085;0.463986;-0.000755;
57.422329;0.463664;-0.000748;
57.422749;0.463325;-0.000719;
57.423107;0.462905;-0.000690;
57.423450;0.462627;-0.000669;
57.423794;0.462277;-0.000684;
57.424213;0.461767;-0.000654;
57.424564;0.461514;-0.000597;
57.424961;0.461195;-0.000625;
57.425266;0.460805;-0.000649;
57.425671;0.460396;-0.000589;
57.425983;0.460041;-0.000558;
57.426365;0.459608;-0.000556;
57.426716;0.459367;-0.000526;
57.427128;0.459029;-0.000514;
57.427471;0.458647;-0.000482;
57.427822;0.458257;-0.000485;
57.428165;0.457928;-0.000459;
57.428524;0.457654;-0.000469;
57.428852;0.457410;-0.000454;
57.429302;0.457099;-0.000490;
57.429615;0.456799;-0.000404;
57.430012;0.456558;-0.000443;
57.430401;0.456274;-0.000423;
57.430759;0.456020;-0.000423;
57.431103;0.455821;-0.000400;
57.431515;0.455530;-0.000390;
57.431789;0.455301;-0.000354;
57.432194;0.455048;-0.000333;
57.432552;0.454817;-0.000326;
57.432957;0.454652;-0.000335;
57.433331;0.454528;-0.000348;
57.433643;0.454482;-0.000303;
57.434002;0.454257;-0.000276;
57.434383;0.453905;-0.000280;
57.434719;0.453817;-0.000269;
57.435131;0.453718;-0.000280;
57.435520;0.453566;-0.000261;
57.435871;0.453387;-0.000243;
57.436230;0.453212;-0.000260;
57.436581;0.453198;-0.000222;
57.436970;0.453085;-0.000197;
57.437283;0.452897;-0.000205;
57.437656;0.452863;-0.000212;
57.438000;0.452793;-0.000202;
57.438381;0.452605;-0.000175;
57.438786;0.452510;-0.000182;
57.439137;0.452324;-0.000175;
57.439472;0.452318;-0.000136;
57.439831;0.452233;-0.000147;
57.440243;0.452079;-0.000146;
57.440624;0.451965;-0.000132;
57.440922;0.451876;-0.000146;
57.441280;0.451697;-0.000114;
57.441738;0.451698;-0.000115;
57.442005;0.451539;-0.000099;
57.442425;0.451449;-0.000078;
57.442768;0.451338;-0.000076;
57.443111;0.451223;-0.000082;
57.443439;0.451123;-0.000071;
57.443821;0.451049;-0.000058;
57.444256;0.450937;-0.000056;
57.444660;0.450932;-0.000043;
57.444935;0.450735;-0.000061;
57.445354;0.450599;-0.000026;
57.445675;0.450521;-0.000024;
57.446041;0.450481;-0.000001;
57.446461;0.450354;-0.000045;
57.446766;0.450270;-0.000018;
57.447124;0.450273;-0.000027;
57.447521;0.450140;0.000006;
57.447887;0.449978;-0.000018;
57.448254;0.450029;0.000009;
57.448551;0.449914;0.000030;
57.448940;0.449859;0.000030;
57.449314;0.449730;0.000051;
57.449718;0.449783;0.000034;
57.450008;0.449802;0.000023;
57.450420;0.449727;0.000042;
57.450771;0.449603;0.000068;
57.451160;0.449648;0.000062;
57.451496;0.449607;0.000072;
57.451855;0.449527;0.000043;
57.452221;0.449500;0.000064;
57.452618;0.449549;0.000081;
57.452999;0.449550;0.000091;
57.453335;0.449508;0.000091;
57.453724;0.449553;0.000072;
57.454067;0.449570;0.000111;
57.454411;0.449447;0.000120;
57.454792;0.449471;0.000083;
57.455128;0.449378;0.000087;
57.455532;0.449391;0.000089;
57.455860;0.449452;0.000121;
57.456303;0.449464;0.000129;
57.456638;0.449453;0.000097;
57.456959;0.449404;0.000095;
57.457348;0.449395;0.000097;
57.457729;0.449394;0.000106;
57.458111;0.449422;0.000122;
57.458408;0.449337;0.000129;
57.458797;0.449346;0.000108;
57.459202;0.449332;0.000121;
57.459538;0.449318;0.000119;
57.459927;0.449311;0.000116;
57.460278;0.449294;0.000124;
57.460606;0.449219;0.000124;
57.461010;0.449266;0.000115;
57.461376;0.449242;0.000132;
57.461720;0.449182;0.000131;
57.462109;0.449055;0.000156;
57.462460;0.449161;0.000161;
57.462826;0.449167;0.000167;
57.463184;0.449097;0.000121;
57.463634;0.449071;0.000116;
57.463940;0.449038;0.000139;
57.464306;0.448992;0.000107;
57.464634;0.449029;0.000144;
57.465008;0.448873;0.000151;
57.465382;0.448910;0.000130;
57.465755;0.448920;0.000148;
57.466099;0.448908;0.000136;
57.466427;0.448869;0.000110;
57.466808;0.448813;0.000140;
57.467220;0.448861;0.000145;
57.467602;0.448786;0.000137;
57.467937;0.448760;0.000152;
57.468243;0.448755;0.000116;
57.468670;0.448788;0.000120;
57.469013;0.448758;0.000140;
57.469418;0.448720;0.000113;
57.469746;0.448718;0.000139;
57.470142;0.448843;0.000126;
57.470486;0.448744;0.000163;
57.470806;0.448718;0.000104;
57.471226;0.448603;0.000135;
57.471577;0.448754;0.000153;
57.471935;0.448783;0.000097;
57.472248;0.448794;0.000119;
57.472668;0.448719;0.000114;
57.473057;0.448760;0.000129;
57.473354;0.448766;0.000122;
57.473751;0.448788;0.000149;
57.474110;0.448831;0.000162;
57.474537;0.448752;0.000093;
57.474911;0.448715;0.000120;
57.475178;0.448716;0.000088;
57.475567;0.448666;0.000106;
57.475842;0.448774;0.000098;
57.476299;0.448777;0.000117;
57.476650;0.448782;0.000116;
57.477055;0.448758;0.000119;
57.477398;0.448791;0.000090;
57.477741;0.448671;0.000131;
57.478176;0.448680;0.000105;
57.478481;0.448723;0.000091;
