"Piezo Voltage (V)";"Fine In 1 (V)";
70.043449;2.046122;
70.062164;2.046899;
70.080887;2.048977;
70.099579;2.050503;
70.118294;2.051572;
70.137009;2.054209;
70.155678;2.060826;
70.174400;2.070260;
70.193130;2.078981;
70.211815;2.085098;
70.230522;2.090540;
70.249252;2.099144;
70.267944;2.111896;
70.286652;2.123712;
70.305382;2.131842;
70.324074;2.138691;
70.342773;2.148648;
70.361488;2.162818;
70.380203;2.175967;
70.398895;2.186468;
70.417587;2.195552;
70.436333;2.205269;
70.455032;2.218169;
70.473717;2.232600;
70.492455;2.245766;
70.511162;2.255690;
70.529839;2.263833;
70.548561;2.274334;
70.567291;2.288713;
70.585968;2.302183;
70.604683;2.311127;
70.623413;2.316742;
70.642097;2.324984;
70.660805;2.337559;
70.679520;2.349223;
70.698235;2.356601;
70.716927;2.361046;
70.735641;2.366544;
70.754364;2.375806;
70.773056;2.385708;
70.791748;2.393109;
70.810486;2.396445;
70.829178;2.398412;
70.847878;2.403195;
70.866608;2.411165;
70.885323;2.417817;
70.903999;2.419014;
70.922729;2.417029;
70.941422;2.417911;
70.960129;2.423339;
70.978836;2.427264;
70.997551;2.425937;
71.016251;2.421189;
71.034958;2.418558;
71.053673;2.419799;
71.072380;2.420819;
71.091087;2.418514;
71.109802;2.412152;
71.128517;2.405870;
71.147209;2.402785;
71.165916;2.401279;
71.184639;2.397845;
71.203316;2.389483;
71.222031;2.378724;
71.240761;2.370800;
71.259445;2.367218;
71.278160;2.361327;
71.296890;2.349657;
71.315582;2.334901;
71.334282;2.323133;
71.353012;2.315018;
71.371712;2.305230;
71.390404;2.290848;
71.409096;2.273557;
71.427834;2.258217;
71.446526;2.245212;
71.465218;2.232395;
71.483963;2.217068;
71.502670;2.198081;
71.521347;2.178637;
71.540085;2.161643;
71.558792;2.147478;
71.577469;2.131621;
71.596191;2.111022;
71.614922;2.088268;
71.633598;2.068821;
71.652313;2.053644;
71.671021;2.036723;
71.689735;2.015709;
71.708435;1.993724;
71.727150;1.975078;
71.745865;1.960641;
71.764557;1.945632;
71.783264;1.929116;
71.801994;1.912085;
71.820686;1.897654;
71.839378;1.887490;
71.858116;1.881064;
71.876808;1.875919;
71.895508;1.870460;
71.914238;1.868344;
71.932930;1.880140;
71.951630;1.904183;
71.970360;1.937908;
71.989052;1.989345;
72.007759;2.076546;
72.026466;2.200233;
72.045181;2.196602;
72.063881;2.177934;
72.082588;2.225870;
72.101303;2.224833;
72.120026;2.114038;
72.138718;2.015284;
72.157433;1.939956;
72.176147;1.885719;
72.194817;1.857642;
72.213547;1.853742;
72.232269;1.799333;
72.250946;1.756561;
72.269661;1.729595;
72.288391;1.710036;
72.307083;1.697800;
72.325790;1.694566;
72.344521;1.695260;
72.363213;1.695832;
72.381912;1.695941;
