Sweep Expansion, 1
P,0.001
I,0.003
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2058.445, -0.0495293343628295, 166.73317957166392
2073.771, -0.047660302877439706, 166.75004942339373
2089.102, -0.0495293343628295, 166.75848434925865
2104.424, -0.040184176935880535, 166.74161449752881
2119.748, -0.051398365848219295, 166.73317957166392
2135.077, -0.051398365848219295, 166.7331795716639
2150.412, -0.03738062970779585, 166.75004942339373
2165.743, -0.05233288159091418, 166.74161449752881
2181.071, -0.05233288159091418, 166.74161449752881
2196.401, -0.05233288159091418, 166.7331795716639
2211.723, -0.05513642881899887, 166.7500494233937
2227.086, -0.051398365848219295, 166.74161449752881
2242.415, -0.03924966119318564, 166.75848434925865
2257.826, -0.053267397333609086, 166.75848434925865
2273.183, -0.05420191307630398, 166.7500494233937
2288.511, -0.04111869267857544, 166.77535420098846
2303.828, -0.03551159822240606, 166.73317957166392
2319.163, -0.042053208421270326, 166.7163097199341
2334.484, -0.042053208421270326, 166.75848434925865
2349.823, -0.042053208421270326, 166.75848434925865
2365.15, -0.04111869267857544, 166.74161449752881
2380.481, -0.04111869267857544, 166.73317957166392
2395.804, -0.0485948186201346, 166.72474464579898
2411.137, -0.045791271392049915, 166.74161449752881
2426.469, -0.045791271392049915, 166.73317957166392
2441.796, -0.042053208421270326, 166.7078747940692
2457.126, -0.03924966119318564, 166.73317957166392
2472.463, -0.05887449178977846, 166.74161449752881
2487.825, -0.0485948186201346, 166.74161449752881
2503.163, -0.05793997604708356, 166.7331795716639
2518.484, -0.05700546030438867, 166.73317957166392
2533.822, -0.04298772416396523, 166.69943986820428
2549.178, -0.04485675564935501, 166.72474464579898
2564.501, -0.04672578713474481, 166.7331795716639
2579.826, -0.047660302877439706, 166.74161449752881
2595.15, -0.051398365848219295, 166.73317957166392
2610.475, -0.043922239906660124, 166.724744645799
2625.826, -0.0495293343628295, 166.7331795716639
2641.15, -0.043922239906660124, 166.76691927512354
2656.479, -0.04485675564935501, 166.73317957166392
2671.802, -0.043922239906660124, 166.724744645799
2687.169, -0.05420191307630398, 166.74161449752881
2702.494, -0.05980900753247336, 166.75004942339373
2718.003, -0.05233288159091418, 166.7331795716639
2733.327, -0.0495293343628295, 166.7500494233937
2748.646, -0.051398365848219295, 166.7163097199341
