Sweep Expansion, 1
P,0.0012
I,0.0033
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA) 
2.117, -0.003738062970779585, 129.28210873146622
17.456, -0.008877899555601514, 129.32428336079076
32.793, -0.00747612594155917, 129.30741350906095
48.13, -0.010746931040991307, 129.2905436573311
63.489, -0.004672578713474481, 129.32428336079076
78.833, -0.0056070944561693765, 129.31584843492584
94.176, -0.009345157426948962, 129.29897858319606
109.51, -0.00981241529829641, 129.2905436573311
124.864, -0.008877899555601514, 129.30741350906095
140.204, -0.00513983658482193, 129.29897858319606
155.538, -0.00513983658482193, 129.30741350906095
170.877, -0.00513983658482193, 129.3242833607908
186.232, -0.00747612594155917, 129.2905436573311
201.574, -0.0056070944561693765, 129.32428336079076
216.915, -0.006074352327516825, 129.3411532125206
232.243, -0.006541610198864273, 129.33271828665568
247.598, 0.004672578713474481, 129.32428336079076
262.937, 0.0009345157426948963, 129.30741350906095
278.27, 0.0023362893567372405, 129.33271828665568
293.599, -0.007943383812906617, 129.33271828665568
308.942, 0.004672578713474481, 129.32428336079076
324.282, 0.0009345157426948963, 129.32428336079076
339.624, -0.009345157426948962, 129.31584843492584
354.96, 0.0014017736140423441, 129.33271828665568
370.304, 0.0, 129.31584843492587
385.644, 0.0018690314853897925, 129.30741350906095
400.979, -0.003738062970779585, 129.31584843492584
416.318, -0.003738062970779585, 129.33271828665568
431.662, -0.008877899555601514, 129.31584843492584
447.0, -0.0056070944561693765, 129.31584843492584
462.339, -0.009345157426948962, 129.3411532125206
477.673, -0.00981241529829641, 129.33271828665568
493.04, -0.0070088680702117215, 129.32428336079076
508.371, 0.00046725787134744814, 129.3242833607908
523.709, -0.00981241529829641, 129.32428336079076
539.044, -0.008877899555601514, 129.33271828665568
554.396, -0.00981241529829641, 129.32428336079076
569.731, -0.006541610198864273, 129.33271828665568
585.062, -0.008877899555601514, 129.33271828665568
600.403, -0.0070088680702117215, 129.36645799011532
