Sweep Expansion, 2
t (s), Frequency Drift (GHz), Active Current (mA) 
P,0.361
I,8.69
D,2.0
All,1.45
2.377, 0.0, 128.26148270181218
17.706, 0.002102715301349231, 128.2699176276771
33.034, 0.001911559364862937, 128.23617792421746
48.374, 0.003058494983780699, 128.26148270181218
63.701, 0.002102715301349231, 128.278352553542
79.028, 0.003823118729725874, 128.25304777594727
94.359, 0.004014274666212168, 128.2699176276771
109.684, 0.00573467809458881, 128.26148270181218
125.014, 0.0053523662216162235, 128.26148270181218
140.325, 0.010131264633773568, 128.278352553542
155.647, 0.008984329014855803, 128.29522240527183
170.981, 0.008410861205396924, 128.2699176276771
186.312, 0.009748952760800978, 128.26148270181218
201.652, 0.01032242057025986, 128.25304777594727
216.985, 0.009748952760800978, 128.21930807248765
232.311, 0.00879317307836951, 128.278352553542
247.642, 0.008984329014855803, 128.24461285008238
262.973, 0.011278200252691327, 128.26148270181218
278.309, 0.011278200252691327, 128.278352553542
293.64, 0.011660512125663913, 128.2867874794069
308.967, 0.012233979935122796, 128.2867874794069
324.282, 0.013763227427013145, 128.2867874794069
339.602, 0.014719007109444614, 128.2699176276771
354.93, 0.017012878347280137, 128.26148270181218
370.258, 0.01567478679187608, 128.25304777594727
385.582, 0.017204034283766434, 128.278352553542
400.913, 0.018159813966197903, 128.24461285008238
416.243, 0.01854212583917049, 128.29522240527183
431.571, 0.0212183089499786, 128.2867874794069
446.899, 0.021600620822951187, 128.278352553542
462.215, 0.02217408863241007, 128.2699176276771
477.533, 0.021791776759437477, 128.2867874794069
492.857, 0.02236524456889636, 128.2699176276771
508.187, 0.021791776759437477, 128.278352553542
523.525, 0.023512180187814122, 128.24461285008238
538.869, 0.021982932695923777, 128.29522240527183
554.19, 0.021027153013492308, 128.2699176276771
569.509, 0.020453685204033425, 128.29522240527183
584.851, 0.02064484114051972, 128.30365733113672
600.162, 0.021409464886464894, 128.2699176276771
615.491, 0.019880217394574545, 128.2699176276771
630.868, 0.02217408863241007, 128.26148270181218
646.199, 0.021791776759437477, 128.278352553542
661.527, 0.02293871237835524, 128.25304777594727
676.849, 0.024467959870245592, 128.25304777594727
692.177, 0.022747556441868953, 128.278352553542
707.506, 0.023703336124300416, 128.278352553542
722.837, 0.02389449206078671, 128.278352553542
738.177, 0.02618836329862223, 128.278352553542
753.52, 0.02599720736213594, 128.31209225700167
768.843, 0.02752645485402629, 128.29522240527183
784.188, 0.027717610790512583, 128.29522240527183
799.525, 0.02848223453645776, 128.278352553542
814.849, 0.026379519235108527, 128.278352553542
830.173, 0.028099922663485172, 128.32052718286656
845.512, 0.026570675171594824, 128.278352553542
934.486, 0.030011482028348108, 128.2867874794069
949.817, 0.03115841764726587, 128.278352553542
965.141, 0.030011482028348108, 128.278352553542
980.464, 0.03173188545672475, 128.278352553542
